time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
2,4.37803,5.30603,3.42592,0.945857,5.00799,4.65754,3.70987,0.809308,5.01707,4.66603,3.70064,0.809496,5.00676,4.65444,3.70316,0.809033,0.904094,0.28395,0.136549,0.904415,0.274722,0.136361,0.905465,0.277235,0.136824
2.1,4.57846,5.58387,3.20795,0.96555,5.18157,5.02003,3.71551,0.84765,5.19027,5.02849,3.70537,0.847818,5.18103,5.01715,3.711,0.847402,0.825629,0.507551,0.117899,0.826289,0.497414,0.117732,0.827197,0.503042,0.118147
2.2,4.76099,5.84768,3.0898,0.984159,5.34893,5.32751,3.6379,0.874545,5.3574,5.33563,3.6264,0.874671,5.34891,5.32622,3.63845,0.874424,0.785021,0.548094,0.109613,0.786068,0.536595,0.109487,0.785868,0.548643,0.109735
2.3,4.93203,6.105,2.87333,1.01729,5.55192,5.59987,3.58441,0.885509,5.56023,5.60779,3.57225,0.885617,5.55226,5.5997,3.58809,0.885449,0.799641,0.711077,0.131776,0.801162,0.698917,0.131669,0.800014,0.714757,0.131836
2.4,5.08307,6.34943,2.8674,1.0263,5.76844,5.87652,3.56566,0.892109,5.77665,5.88452,3.55378,0.892213,5.76904,5.87641,3.5693,0.892032,0.832689,0.698262,0.134187,0.834983,0.686385,0.134083,0.833249,0.7019,0.134264
2.5,5.2316,6.59471,3.07461,1.03685,5.91717,6.07684,3.32367,0.898992,5.92425,6.08485,3.30873,0.899199,5.92162,6.07765,3.34039,0.898564,0.859178,0.249054,0.13786,0.860066,0.234115,0.137654,0.862251,0.265779,0.138288
2.6,5.38808,6.85937,3.12474,1.04828,5.96459,6.36191,3.10443,0.935478,5.97088,6.36998,3.08806,0.935712,5.9721,6.36311,3.1287,0.934864,0.76147,0.0203192,0.112806,0.761033,0.0366832,0.112572,0.766394,0.00395565,0.11342
2.7,5.54402,7.13015,3.28016,1.04516,6.09995,6.58536,2.99329,0.948894,6.10643,6.59301,2.97723,0.949068,6.10683,6.5888,3.01878,0.948515,0.778366,0.286869,0.0962663,0.777707,0.302926,0.0960923,0.780909,0.261378,0.0966455
2.8,5.70861,7.41389,3.29542,1.07716,6.19292,6.99229,3.14863,0.991983,6.19991,7.001,3.13845,0.992132,6.1981,6.99222,3.15389,0.991681,0.642106,0.146784,0.0851724,0.641756,0.156969,0.0850232,0.646073,0.141529,0.0854748
2.9,5.86475,7.70409,3.15219,1.11027,6.28253,7.37703,3.23887,1.02665,6.28889,7.38722,3.23133,1.0269,6.28979,7.37208,3.23457,1.026,0.530565,0.0866816,0.0836164,0.529429,0.079147,0.0833659,0.539341,0.082378,0.0842629
3,6.00484,7.98646,3.3318,1.12299,6.46138,7.60231,3.16731,1.0268,6.46852,7.61164,3.15832,1.02695,6.46597,7.60041,3.16804,1.0265,0.596655,0.164495,0.0961891,0.596227,0.173485,0.096043,0.601395,0.163767,0.0964965
3.1,6.14911,8.28679,3.46031,1.12991,6.7628,7.85783,3.36146,1.00069,6.77165,7.867,3.35713,1.0006,6.76202,7.85541,3.34445,1.00108,0.748746,0.0988515,0.129221,0.750855,0.103186,0.129309,0.749502,0.115868,0.12883
3.2,6.29677,8.59974,3.46768,1.12669,6.93085,8.09157,3.25415,0.996288,6.93612,8.1029,3.2452,0.996637,6.94077,8.08307,3.25268,0.995345,0.812581,0.213528,0.130403,0.809695,0.222474,0.130054,0.825638,0.214999,0.131347
3.3,6.44576,8.91286,3.35936,1.10563,7.09214,8.431,3.35934,1.01846,7.0988,8.44194,3.35336,1.01866,7.09644,8.42423,3.34657,1.01813,0.806226,2.39909e-05,0.0871676,0.80513,0.00600034,0.0869664,0.813721,0.012795,0.0874948
