time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.48739,5.48739,0.833722,3.46483,5.44862,0.838684,3.46479,5.44857,0.838687,3.46442,5.45012,0.834564,3.46437,5.44828,0.83704,0.04486,0.00496198,0.0449213,0.00496511,0.0437901,0.00084164,0.0453919,0.0033185
1,3.96673,6.01545,0.81087,3.85336,5.87043,0.804332,3.85335,5.87041,0.804321,3.85576,5.87141,0.791517,3.85445,5.87086,0.810724,0.184071,0.00653806,0.184096,0.00654917,0.181826,0.0193531,0.183066,0.000145585
1.5,4.33539,6.40339,0.780756,4.26979,6.30391,0.823063,4.26978,6.30388,0.823051,4.27968,6.30043,0.810101,4.26805,6.30732,0.827667,0.119163,0.0423071,0.119196,0.0422951,0.117068,0.0293452,0.117325,0.0469109
2,4.71501,6.77949,0.807668,4.66915,6.7339,0.83476,4.66915,6.73385,0.834743,4.68668,6.72614,0.819631,4.66528,6.73997,0.840164,0.0646674,0.0270919,0.0646999,0.0270749,0.0604111,0.0119626,0.0635223,0.032495
2.5,5.17296,7.25831,0.746178,5.11954,7.17812,0.698301,5.11962,7.17816,0.698309,5.13827,7.17115,0.669353,5.11872,7.18319,0.720433,0.0963581,0.047877,0.096279,0.047869,0.0938092,0.0768255,0.0926576,0.0257455
3,5.57355,7.62865,0.783329,5.58958,7.59318,0.758561,5.58967,7.59325,0.758561,5.62498,7.57131,0.73889,5.57708,7.60993,0.770354,0.0389269,0.0247683,0.0388986,0.0247679,0.0770211,0.044439,0.0190485,0.0129749
3.5,6.08789,8.14087,0.875341,6.01442,8.01119,0.816901,6.01452,8.01124,0.816893,6.06212,7.98017,0.799177,5.99479,8.035,0.824579,0.149042,0.0584393,0.148949,0.0584473,0.162753,0.0761632,0.140983,0.0507612
4,6.45681,8.58293,0.936351,6.50027,8.55341,0.887683,6.50028,8.55344,0.887696,6.56264,8.51147,0.866744,6.47548,8.57773,0.872495,0.0525364,0.0486683,0.0525266,0.0486555,0.127696,0.0696067,0.0193757,0.0638564
4.5,6.81251,9.06625,0.924425,6.9052,9.0581,0.911876,6.90509,9.05801,0.911886,6.98197,9.00712,0.885792,6.88656,9.07561,0.891089,0.0930456,0.0125487,0.0929425,0.0125385,0.179481,0.0386328,0.0746413,0.033336
5,7.17739,9.54986,0.986686,7.2975,9.56422,0.918741,7.297,9.56364,0.918747,7.38915,9.50458,0.894884,7.28486,9.57479,0.903345,0.120966,0.0679446,0.120402,0.0679386,0.216542,0.0918017,0.110319,0.0833407
5.5,7.51276,10.0572,0.932758,7.64131,10.0181,0.920943,7.64032,10.0169,0.920942,7.74433,9.95369,0.897787,7.63119,10.0248,0.912325,0.134352,0.0118147,0.133787,0.0118156,0.253644,0.0349713,0.122783,0.0204326
6,7.9394,10.6326,0.989896,8.01162,10.4982,0.920401,8.00969,10.4956,0.920409,8.12495,10.4296,0.890237,7.99785,10.5033,0.918406,0.152549,0.0694954,0.153902,0.0694868,0.274999,0.0996592,0.141872,0.0714899
6.5,8.33392,11.2335,0.991175,8.40401,11.002,0.920657,8.40106,10.9981,0.920649,8.54492,10.9156,0.787603,8.38408,11.007,0.922588,0.241936,0.070518,0.244857,0.0705262,0.381569,0.203572,0.232044,0.0685871
7,8.61643,11.6651,1.06412,8.80266,11.525,0.926761,8.80024,11.5216,0.926684,9.01456,11.3851,0.778796,8.78246,11.5323,0.928954,0.233056,0.13736,0.233209,0.137437,0.486706,0.285325,0.212588,0.135168
7.5,8.89782,12.1721,1.07185,9.15918,12.0165,0.936778,9.15771,12.0142,0.936682,9.45579,11.8134,0.757768,9.14424,12.0232,0.936202,0.304162,0.135074,0.304078,0.13517,0.663338,0.314084,0.287928,0.13565
8,9.23689,12.7943,1.12118,9.47589,12.5407,0.967944,9.47756,12.542,0.967667,9.91383,12.2319,0.704753,9.49058,12.5363,0.954406,0.348467,0.153233,0.348698,0.153511,0.880075,0.416424,0.361871,0.166771
8.5,9.4827,13.3037,1.11273,9.70416,13.1187,1.03199,9.7089,13.1232,1.03142,10.3847,12.6236,0.678963,9.79066,13.0723,0.987636,0.288538,0.080742,0.289401,0.0813079,1.12962,0.433767,0.385192,0.125095
9,9.75433,13.8546,1.14683,9.99842,13.6328,1.03998,10.0024,13.6376,1.0398,10.8503,13.0005,0.703326,10.1065,13.5716,0.996039,0.329797,0.106855,0.329568,0.107033,1.38953,0.443504,0.451734,0.150791
9.5,10.0444,14.4973,1.16288,10.11,14.2814,1.14184,10.1113,14.2839,1.14169,11.3165,13.3801,0.650906,10.3041,14.1612,1.0558,0.225569,0.0210324,0.223574,0.0211903,1.69307,0.51197,0.424683,0.107078
10,10.2888,15.0627,1.21767,10.2459,14.9303,1.2278,10.2442,14.9305,1.22789,11.8216,13.7503,0.59094,10.3151,14.9001,1.18166,0.139188,0.0101284,0.139584,0.0102254,2.01793,0.626729,0.164749,0.0360104
10.5,10.4623,15.5336,1.16174,10.5176,15.5407,1.19034,10.5176,15.541,1.19033,12.3761,14.1399,0.630204,10.6175,15.493,1.17043,0.0557731,0.0286073,0.0557546,0.0285931,2.36748,0.531532,0.160388,0.00869622
11,10.736,16.1648,1.17757,10.7376,16.0788,1.16681,10.7368,16.0797,1.16686,12.8484,14.484,0.657709,10.879,16.0072,1.14727,0.0860761,0.010752,0.0851528,0.0107004,2.69955,0.519856,0.212821,0.0302903
11.5,10.9946,16.7884,1.27484,10.963,16.6972,1.3154,10.9627,16.6976,1.31543,13.3877,14.8632,0.483949,11.0305,16.6677,1.31093,0.0964407,0.0405627,0.0961807,0.0405897,3.07132,0.790892,0.125894,0.0360935
12,11.146,17.2849,1.31515,11.1178,17.2899,1.30642,11.1173,17.2904,1.30646,13.9313,15.1508,0.511103,11.1914,17.2574,1.30108,0.0286076,0.0087253,0.0292558,0.00868366,3.50888,0.804042,0.0531133,0.0140631
12.5,11.3166,17.9376,1.21319,11.235,17.8115,1.30161,11.2328,17.813,1.30174,14.4057,15.3979,0.523428,11.3119,17.7782,1.29412,0.150134,0.088422,0.150176,0.0885563,3.99906,0.68976,0.159438,0.0809355
13,11.502,18.4336,1.2229,11.418,18.4201,1.24581,11.4158,18.4215,1.24594,14.9524,15.7264,0.581495,11.4996,18.3847,1.23951,0.0850169,0.022912,0.087,0.0230379,4.3857,0.641404,0.0489514,0.0166061
13.5,11.7406,19.0917,1.22555,11.6095,19.0017,1.25931,11.607,19.0032,1.25945,15.4689,16.0593,0.562197,11.6942,18.9649,1.25417,0.159019,0.0337645,0.160238,0.0339001,4.80576,0.663349,0.134983,0.02862
14,11.957,19.6934,1.29822,11.7838,19.5681,1.27006,11.7807,19.5699,1.27022,15.9753,16.3707,0.551781,11.8711,19.5303,1.26444,0.213778,0.0281581,0.215255,0.0279957,5.21404,0.746435,0.184315,0.0337759
14.5,12.1409,20.3513,1.30892,11.9873,20.184,1.24284,11.9845,20.1857,1.24298,16.5262,16.7184,0.57931,12.0781,20.1445,1.23893,0.227067,0.0660797,0.227781,0.0659367,5.69461,0.729606,0.216127,0.069989
15,12.3097,20.9811,1.25598,12.1877,20.7646,1.22897,12.1847,20.7664,1.22912,17.0416,17.0566,0.592908,12.281,20.7239,1.22478,0.248462,0.0270102,0.248457,0.0268588,6.14758,0.663072,0.258827,0.031202
15.5,12.5152,21.6121,1.33946,12.4101,21.4475,1.37577,12.4084,21.4486,1.37585,17.6545,17.4379,0.420212,12.5033,21.4059,1.37116,0.195232,0.0363105,0.195248,0.036388,6.62085,0.919246,0.206495,0.0317011
16,12.6337,22.1151,1.32992,12.5404,22.0642,1.35543,12.5388,22.0652,1.35551,18.229,17.704,0.460496,12.6377,22.0212,1.35022,0.106297,0.0255106,0.107217,0.0255868,7.12497,0.869427,0.0939754,0.0202995
16.5,12.7745,22.6883,1.37848,12.6731,22.694,1.40217,12.6718,22.6949,1.40223,18.8104,17.9863,0.415014,12.7725,22.6501,1.39954,0.101541,0.0236845,0.102899,0.0237464,7.65121,0.963471,0.0382332,0.0210535
17,12.9017,23.3418,1.37192,12.7763,23.3095,1.4138,12.7749,23.3104,1.41386,19.3846,18.2369,0.406616,12.8773,23.265,1.41028,0.129526,0.0418778,0.13063,0.0419404,8.25148,0.965306,0.0805218,0.0383563
17.5,13.0207,23.9318,1.38287,12.8462,23.8621,1.40969,12.8438,23.8634,1.4098,19.9022,18.4451,0.415192,12.9492,23.8177,1.40407,0.187862,0.0268192,0.189654,0.0269267,8.80114,0.967681,0.134625,0.0211971
18,13.1561,24.6442,1.46415,12.951,24.5214,1.48653,12.9492,24.5225,1.48661,20.5191,18.7091,0.327673,13.0575,24.4756,1.48579,0.239032,0.0223825,0.240066,0.02246,9.45725,1.13648,0.195288,0.0216401
