time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.48366,5.48366,0.880902,3.43672,5.42496,0.809685,3.4367,5.42494,0.809682,3.43626,5.42656,0.805181,3.43738,5.4251,0.810719,0.0751557,0.0712169,0.0751803,0.0712205,0.0742061,0.075721,0.0746369,0.0701832
1,3.829,5.90218,0.781116,3.88415,5.89095,0.755058,3.88415,5.89097,0.755065,3.88639,5.89168,0.739755,3.88468,5.89072,0.755782,0.0562725,0.0260583,0.0562779,0.026051,0.0583389,0.0413609,0.0568432,0.0253335
1.5,4.23083,6.30058,0.766543,4.31233,6.28784,0.762424,4.31234,6.28785,0.76242,4.32216,6.28353,0.749627,4.31275,6.28893,0.765254,0.0824846,0.0041189,0.0824926,0.00412348,0.0929063,0.0169164,0.082742,0.00128888
2,4.66859,6.72213,0.765812,4.75429,6.68646,0.69992,4.75431,6.68647,0.699914,4.76858,6.68005,0.685385,4.75532,6.688,0.703948,0.092828,0.0658921,0.0928471,0.0658973,0.108487,0.0804263,0.0932081,0.0618639
2.5,5.20701,7.23987,0.762288,5.20236,7.06867,0.741685,5.20239,7.06867,0.741675,5.22509,7.05609,0.729464,5.20118,7.0735,0.746064,0.17126,0.0206035,0.171258,0.0206135,0.184659,0.0328247,0.166468,0.0162242
3,5.71791,7.72768,0.820271,5.64964,7.48765,0.780986,5.64967,7.48764,0.780977,5.68029,7.46985,0.768192,5.6463,7.4946,0.782906,0.249542,0.0392849,0.249547,0.0392942,0.260558,0.0520791,0.243828,0.037365
3.5,6.0908,8.12753,0.782603,6.10851,7.94017,0.777094,6.10855,7.94016,0.777093,6.14692,7.91743,0.757319,6.10432,7.94727,0.778167,0.188204,0.00550848,0.188214,0.00550974,0.217464,0.025284,0.180773,0.00443542
4,6.58201,8.61601,0.773878,6.57235,8.38747,0.756736,6.57239,8.38748,0.756738,6.61996,8.35834,0.734318,6.56808,8.3941,0.760177,0.228744,0.0171427,0.22873,0.0171409,0.260442,0.0395606,0.222342,0.0137009
4.5,7.05389,9.07714,0.760906,7.01425,8.80914,0.774551,7.01429,8.80915,0.774547,7.07383,8.77082,0.752825,7.00781,8.81787,0.776975,0.270908,0.0136443,0.270898,0.013641,0.306967,0.00808144,0.263332,0.0160681
