time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.41633,5.41633,0.757088,3.45237,5.46264,0.778099,3.45238,5.46265,0.778106,3.45023,5.46473,0.768116,3.45144,5.46243,0.776355,0.0586834,0.021011,0.0586994,0.0210173,0.0590877,0.011028,0.0579517,0.0192663
1,3.91453,5.88709,0.789013,3.89935,5.90454,0.78966,3.89936,5.90455,0.789662,3.90278,5.90344,0.77973,3.89906,5.90365,0.78878,0.0231242,0.000647026,0.0231293,0.000649773,0.0201348,0.00928241,0.0226607,0.000232891
1.5,4.33516,6.31077,0.80194,4.33794,6.35404,0.820533,4.33793,6.35404,0.820535,4.34783,6.34922,0.809533,4.3376,6.35297,0.819095,0.043358,0.0185933,0.0433616,0.0185948,0.0404869,0.00759245,0.0422675,0.0171547
2,4.85214,6.84515,0.814862,4.76527,6.82197,0.852794,4.76526,6.82196,0.852797,4.78302,6.81255,0.838554,4.76508,6.82025,0.849011,0.0899071,0.0379319,0.0899266,0.0379346,0.0764252,0.0236924,0.0905526,0.0341489
2.5,5.30282,7.3232,0.994076,5.19121,7.32801,0.904719,5.19115,7.32796,0.904731,5.22055,7.31119,0.886631,5.19218,7.3236,0.890502,0.111707,0.0893564,0.111772,0.0893447,0.0831402,0.107444,0.110633,0.103574
3,5.68508,7.91084,0.898776,5.59093,7.8437,0.927917,5.59078,7.84358,0.927937,5.63443,7.81818,0.896178,5.59844,7.83282,0.908103,0.11564,0.0291417,0.115825,0.0291616,0.105602,0.0025979,0.116593,0.00932717
3.5,6.0836,8.41179,0.858857,6.00925,8.3998,0.939173,6.00893,8.39956,0.93924,6.0771,8.35817,0.873865,6.02632,8.37961,0.916147,0.0753151,0.0803162,0.0756685,0.0803832,0.0540149,0.015008,0.065702,0.0572905
4,6.51435,8.91097,0.883919,6.3871,8.91722,0.94657,6.38644,8.91659,0.946623,6.49076,8.85135,0.878083,6.41309,8.88873,0.925752,0.1274,0.0626511,0.12803,0.0627036,0.0641211,0.00583613,0.103676,0.0418329
4.5,6.85765,9.32957,0.960277,6.74624,9.41386,0.949581,6.74479,9.4121,0.949593,6.88186,9.32724,0.897574,6.77425,9.38028,0.936419,0.139698,0.0106965,0.139808,0.0106842,0.0243243,0.0627033,0.0976006,0.0238584
