time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.48684,5.48684,0.846754,3.45942,5.44609,0.829167,3.45939,5.44605,0.82917,3.45886,5.44765,0.824504,3.4591,5.44583,0.827933,0.0491252,0.0175864,0.0491746,0.017584,0.0481638,0.0222498,0.0495218,0.0188207
1,3.9304,5.98846,0.856976,3.89346,5.92293,0.839147,3.89343,5.92289,0.839154,3.8963,5.92313,0.827208,3.89343,5.92173,0.836832,0.0752223,0.0178285,0.0752727,0.0178221,0.0736912,0.029768,0.0762884,0.0201441
1.5,4.30727,6.42356,0.970727,4.26536,6.34058,0.873994,4.26532,6.34051,0.87398,4.2759,6.33658,0.861726,4.26581,6.34052,0.874738,0.092962,0.0967323,0.0930393,0.0967464,0.0924653,0.109001,0.0928141,0.0959889
2,4.73049,7.04208,0.917273,4.64114,6.79833,0.904062,4.64109,6.79822,0.90404,4.66063,6.78949,0.887884,4.6407,6.7992,0.902278,0.259609,0.0132107,0.259727,0.0132327,0.262073,0.0293889,0.258947,0.0149952
2.5,5.17858,7.62722,0.944529,5.04553,7.32843,0.944402,5.0454,7.32822,0.944408,5.07915,7.31094,0.920677,5.04654,7.32576,0.926824,0.327072,0.000127277,0.327313,0.000121,0.33154,0.0238528,0.329102,0.0177056
3,5.57088,8.16951,1.05779,5.42466,7.83762,0.929753,5.42481,7.83786,0.929786,5.48564,7.80191,0.782982,5.4336,7.83005,0.920989,0.362664,0.128033,0.362383,0.127999,0.377344,0.274803,0.366164,0.136797
3.5,5.92247,8.79366,1.02928,5.77901,8.33233,0.952746,5.77883,8.33208,0.952727,5.91304,8.23975,0.843343,5.79242,8.31917,0.938083,0.483119,0.076534,0.483411,0.0765537,0.553985,0.185938,0.491988,0.0911977
4,6.27721,9.38343,0.966513,6.13345,8.83907,0.963072,6.13264,8.83787,0.963044,6.32179,8.7084,0.88412,6.149,8.82034,0.950983,0.563021,0.00344126,0.564386,0.00346925,0.676496,0.082393,0.577503,0.01553
4.5,6.59739,9.84716,0.910046,6.51054,9.37388,0.965708,6.50907,9.37187,0.965723,6.74223,9.21462,0.870686,6.52615,9.35175,0.957671,0.481175,0.0556622,0.483423,0.0556764,0.648904,0.0393602,0.500502,0.047625
5,6.94545,10.2949,0.926573,6.88682,9.90614,0.966791,6.88458,9.90309,0.966803,7.16752,9.71418,0.860044,6.89915,9.88255,0.96295,0.393184,0.0402174,0.396531,0.0402296,0.621755,0.066529,0.414971,0.0363767
5.5,7.25407,10.7058,0.941297,7.24598,10.4048,0.963746,7.24216,10.3995,0.963767,7.56747,10.1857,0.88923,7.2485,10.3801,0.964879,0.301085,0.0224487,0.306551,0.0224696,0.607203,0.0520672,0.325712,0.0235822
6,7.67995,11.2905,0.981471,7.58832,10.885,0.964034,7.58302,10.8775,0.964101,7.94162,10.6472,0.888944,7.58482,10.8576,0.965831,0.415788,0.0174373,0.424198,0.0173698,0.694466,0.0925268,0.44325,0.0156397
6.5,7.98106,11.7409,1.04993,7.97988,11.4335,0.96584,7.97404,11.4248,0.965746,8.38923,11.1591,0.766375,7.96826,11.4094,0.970301,0.307448,0.0840858,0.316178,0.08418,0.710739,0.283551,0.331774,0.0796246
