time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.44217,5.44217,0.866173,3.45289,5.43609,0.831206,3.45286,5.43605,0.831206,3.45263,5.43757,0.8275,3.45301,5.43596,0.83083,0.0123221,0.0349667,0.0123164,0.0349671,0.0114241,0.0386731,0.0124903,0.0353427
1,3.78658,5.84725,0.796277,3.8857,5.90501,0.776695,3.8857,5.90501,0.7767,3.88794,5.90579,0.759098,3.88637,5.90446,0.779401,0.114724,0.0195824,0.114723,0.0195768,0.117055,0.0371787,0.115024,0.0168758
1.5,4.23613,6.30669,0.846022,4.31865,6.34009,0.822509,4.31864,6.34008,0.822509,4.33105,6.33368,0.808472,4.31718,6.34163,0.824097,0.0890308,0.0235134,0.0890187,0.0235134,0.0986866,0.0375502,0.0882658,0.0219246
2,4.73198,6.86663,0.887026,4.73717,6.79943,0.854207,4.73715,6.79941,0.854206,4.7586,6.78746,0.838709,4.73449,6.80175,0.853072,0.0673984,0.0328194,0.0674171,0.0328204,0.0835212,0.0483176,0.0649314,0.0339544
2.5,5.11579,7.33761,0.920736,5.11255,7.24169,0.890254,5.11252,7.24162,0.890239,5.14445,7.22356,0.87287,5.10958,7.24468,0.887189,0.0959771,0.0304826,0.0960451,0.0304976,0.117597,0.0478664,0.0931363,0.033547
3,5.49773,7.83996,0.944171,5.5202,7.76057,0.930214,5.52009,7.7604,0.930218,5.56659,7.73333,0.90613,5.5191,7.75991,0.91239,0.0825165,0.0139572,0.08264,0.0139529,0.12693,0.038041,0.0828619,0.0317804
3.5,5.892,8.38457,0.96232,5.90081,8.27847,0.948348,5.90047,8.27803,0.948355,5.96352,8.24165,0.922869,5.90684,8.27033,0.927939,0.106462,0.0139716,0.106878,0.0139649,0.159808,0.0394509,0.115203,0.0343814
4,6.29561,8.96392,0.984852,6.22026,8.73159,0.953055,6.21979,8.73084,0.953026,6.30296,8.68368,0.882422,6.23324,8.71767,0.937609,0.244238,0.0317974,0.2451,0.0318264,0.28034,0.10243,0.25403,0.0472432
4.5,6.67289,9.53237,0.94751,6.62037,9.27728,0.950643,6.6188,9.27506,0.950642,6.73226,9.21013,0.912184,6.62977,9.26038,0.945672,0.260441,0.0031333,0.262938,0.00313214,0.327658,0.0353267,0.27539,0.00183853
5,7.08556,10.1064,0.977624,6.98857,9.78479,0.951758,6.98601,9.78117,0.951756,7.12155,9.7057,0.893948,6.99365,9.76561,0.95045,0.33594,0.0258662,0.340146,0.0258679,0.402334,0.083676,0.352983,0.0271746
