time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.40035,5.40035,0.798909,3.46017,5.45819,0.807611,3.46016,5.45817,0.807616,3.45881,5.46,0.800294,3.45937,5.45788,0.805702,0.0832101,0.00870185,0.0831889,0.00870723,0.0835213,0.00138489,0.0824175,0.00679299
1,3.86186,5.87451,0.862947,3.88703,5.90533,0.828147,3.88701,5.90531,0.828148,3.89025,5.90494,0.818413,3.88699,5.90454,0.82721,0.039792,0.0347992,0.0397615,0.0347984,0.0416168,0.0445336,0.0391532,0.035737
1.5,4.19912,6.26859,0.898309,4.33135,6.40388,0.871088,4.3313,6.40384,0.871099,4.34187,6.39916,0.858055,4.33102,6.40167,0.864513,0.189175,0.0272205,0.189119,0.0272093,0.193465,0.0402537,0.187371,0.0337957
2,4.52791,6.68148,0.868176,4.71632,6.85389,0.858133,4.7163,6.85387,0.858129,4.73443,6.84527,0.835619,4.71829,6.85089,0.861165,0.255395,0.0100435,0.255367,0.0100474,0.26359,0.0325572,0.25484,0.00701119
2.5,4.98564,7.22203,0.925827,5.11779,7.33826,0.906228,5.11773,7.33819,0.906227,5.15224,7.31858,0.882985,5.11762,7.33594,0.898993,0.17599,0.0195995,0.175897,0.0196005,0.192556,0.0428417,0.174338,0.0268344
3,5.42506,7.80614,0.894899,5.52534,7.86613,0.92912,5.5252,7.86602,0.929143,5.57677,7.83557,0.894038,5.52837,7.8595,0.914203,0.116851,0.0342212,0.116681,0.0342437,0.154542,0.000861099,0.116283,0.019304
3.5,5.834,8.3161,0.947441,5.83795,8.29891,0.943682,5.83777,8.29857,0.943619,5.90896,8.25677,0.909945,5.84576,8.28876,0.931742,0.0176451,0.0037595,0.0179295,0.0038227,0.0956035,0.0374962,0.0297635,0.0156993
4,6.17055,8.7842,0.991643,6.19647,8.79835,0.95213,6.19609,8.79768,0.952078,6.29174,8.74137,0.885684,6.20845,8.78348,0.94075,0.0295274,0.0395132,0.028872,0.0395658,0.128536,0.10596,0.0379082,0.050893
4.5,6.53727,9.34497,1.10648,6.53692,9.28009,0.957368,6.53728,9.28026,0.957262,6.67909,9.19253,0.805805,6.55848,9.26104,0.943694,0.0648727,0.149114,0.0647084,0.14922,0.208205,0.300677,0.0865609,0.162788
5,6.85859,9.98653,1.06246,6.87889,9.77362,0.965221,6.88004,9.77463,0.965058,7.10005,9.62876,0.806915,6.91348,9.74798,0.947311,0.213876,0.0972406,0.212978,0.0974028,0.431627,0.255546,0.244788,0.115151
5.5,7.21757,10.6308,1.13711,7.2002,10.267,0.980602,7.20284,10.2697,0.980333,7.51669,10.0545,0.782528,7.26166,10.2278,0.951031,0.36427,0.156507,0.361473,0.156776,0.649307,0.354581,0.405456,0.186078
6,7.47237,11.181,1.15589,7.47613,10.7634,1.01136,7.48075,10.7684,1.01099,7.92961,10.4532,0.755797,7.59398,10.692,0.955988,0.417646,0.144526,0.412724,0.144893,0.859527,0.400089,0.503921,0.199898
6.5,7.77201,11.8613,1.19222,7.66564,11.3533,1.09486,7.67325,11.3613,1.09406,8.37728,10.8602,0.707004,7.93679,11.1906,0.9672,0.519025,0.0973681,0.509606,0.0981647,1.16984,0.48522,0.690664,0.225024
7,8.01939,12.4832,1.23126,7.86851,12.0328,1.16826,7.87629,12.0403,1.1674,8.8994,11.3119,0.696109,8.28936,11.7863,0.996961,0.475051,0.0629925,0.465519,0.0638569,1.46511,0.535147,0.747412,0.234295
7.5,8.228,13.0738,1.29954,8.02034,12.7498,1.26174,8.02567,12.7548,1.26157,9.44044,11.7572,0.62924,8.4807,12.5086,1.09671,0.384852,0.0378014,0.377775,0.0379669,1.78984,0.6703,0.619107,0.202828
8,8.40002,13.6924,1.33706,8.16441,13.3754,1.32223,8.16878,13.3792,1.3221,9.95728,12.1212,0.575152,8.37196,13.3267,1.26989,0.394937,0.0148335,0.389256,0.0149652,2.21217,0.761909,0.366773,0.0671696
8.5,8.57065,14.409,1.2725,8.33229,13.9843,1.30467,8.33688,13.988,1.30456,10.4881,12.4713,0.596436,8.56873,13.9197,1.27088,0.487056,0.0321762,0.481537,0.0320636,2.72604,0.676062,0.489318,0.00161498
9,8.74257,14.9681,1.29175,8.49856,14.571,1.27593,8.50302,14.5747,1.27584,10.9933,12.8176,0.627635,8.78655,14.4795,1.24758,0.466149,0.0158164,0.460616,0.0159011,3.11302,0.66411,0.490627,0.044165
9.5,8.90703,15.5422,1.34686,8.70695,15.2451,1.33911,8.71229,15.2482,1.33889,11.5703,13.2299,0.548552,8.97184,15.1657,1.32857,0.358166,0.00774987,0.352601,0.00796798,3.52696,0.79831,0.382029,0.0182909
10,9.06481,16.2349,1.35822,8.79068,15.7431,1.35019,8.79475,15.7468,1.35007,12.0125,13.4728,0.547623,9.06777,15.658,1.33395,0.563066,0.00803074,0.557878,0.00815425,4.03959,0.8106,0.57696,0.024268
10.5,9.21143,16.9142,1.32366,8.95325,16.3911,1.32607,8.95778,16.3944,1.32596,12.5796,13.832,0.573353,9.23842,16.3024,1.31118,0.583326,0.00240588,0.578356,0.00229081,4.56556,0.750312,0.61246,0.0124823
11,9.3386,17.4183,1.29379,9.10374,16.9756,1.29084,9.10806,16.9789,1.29075,13.0864,14.1635,0.612064,9.39909,16.8821,1.27462,0.501112,0.00295646,0.496178,0.00304276,4.96385,0.68173,0.539552,0.0191782
11.5,9.51422,18.036,1.32483,9.28181,17.5744,1.27,9.28612,17.5775,1.26991,13.5981,14.5259,0.630554,9.58632,17.4764,1.25451,0.516841,0.0548285,0.512064,0.054919,5.38505,0.694271,0.564272,0.0703161
12,9.64123,18.5419,1.28625,9.51419,18.2557,1.2478,9.51943,18.2584,1.24765,14.1775,14.9585,0.644385,9.82331,18.1543,1.23748,0.313089,0.0384444,0.308596,0.038596,5.7809,0.641862,0.428204,0.0487688
12.5,9.79108,19.0542,1.28757,9.70973,18.848,1.26225,9.71501,18.8505,1.26208,14.6806,15.3315,0.628504,10.0253,18.743,1.24753,0.221632,0.02532,0.217407,0.025486,6.14539,0.659066,0.389518,0.0400413
13,9.93981,19.5652,1.29682,9.88,19.4187,1.29588,9.88508,19.4212,1.29571,15.1691,15.6759,0.594639,10.2044,19.3096,1.27708,0.158242,0.000942991,0.154044,0.0011076,6.51714,0.702183,0.367935,0.0197395
13.5,10.1302,20.2426,1.37249,10.052,20.058,1.35473,10.0575,20.0602,1.35454,15.7247,16.0409,0.533391,10.3816,19.9461,1.33907,0.200474,0.0177629,0.196323,0.017958,6.99664,0.839104,0.388762,0.0334276
14,10.2751,20.964,1.42264,10.184,20.6767,1.38051,10.1897,20.6788,1.38032,16.2735,16.361,0.512699,10.5211,20.562,1.36542,0.301359,0.042129,0.297704,0.0423192,7.56097,0.909941,0.471238,0.0572239
14.5,10.3539,21.4918,1.35973,10.3132,21.2893,1.34054,10.319,21.2913,1.34037,16.8174,16.6761,0.557706,10.6608,21.171,1.32463,0.206606,0.0191905,0.203598,0.0193579,8.06022,0.802026,0.443979,0.0351024
15,10.4869,22.1123,1.40008,10.4241,21.8449,1.38628,10.4294,21.847,1.38611,17.3073,16.9638,0.508132,10.7827,21.7231,1.36798,0.274672,0.0138037,0.271435,0.0139715,8.5455,0.891951,0.488821,0.0321047
15.5,10.5871,22.6939,1.34732,10.5694,22.501,1.33126,10.5752,22.5028,1.3311,17.8889,17.306,0.566208,10.9377,22.376,1.31581,0.193724,0.0160592,0.191438,0.0162187,9.07447,0.78111,0.473251,0.0315038
16,10.7277,23.3124,1.34567,10.7046,23.0783,1.34174,10.7101,23.0802,1.34157,18.3939,17.6206,0.553253,11.083,22.9497,1.32474,0.235261,0.00393078,0.232908,0.00409168,9.5482,0.792413,0.507737,0.0209251
16.5,10.8871,24.0085,1.24532,10.8456,23.6493,1.29118,10.8509,23.6512,1.29105,18.8926,17.9364,0.60928,11.2364,23.5165,1.27414,0.361559,0.0458655,0.359078,0.0457338,10.0478,0.636037,0.603398,0.0288214
17,11.0692,24.548,1.23459,11.0205,24.249,1.28484,11.0259,24.2509,1.2847,19.4074,18.2943,0.607879,11.4212,24.1121,1.2693,0.302904,0.0502561,0.300279,0.0501137,10.4228,0.62671,0.560254,0.034712
17.5,11.2397,25.036,1.24908,11.2038,24.8609,1.28169,11.2093,24.8626,1.28154,19.9343,18.6598,0.606912,11.6132,24.7201,1.26713,0.178788,0.0326131,0.176091,0.0324601,10.782,0.642167,0.489171,0.0180474
18,11.4059,25.5347,1.25005,11.3781,25.4238,1.25315,11.3835,25.4256,1.25302,20.4175,19.0011,0.639617,11.7992,25.2783,1.23937,0.114323,0.00309768,0.111465,0.0029638,11.1309,0.610438,0.469511,0.0106827
18.5,11.5794,26.0568,1.19117,11.5804,26.0014,1.21341,11.5857,26.003,1.21329,20.9061,19.3734,0.681877,12.0116,25.851,1.20644,0.055419,0.0222387,0.0541275,0.0221167,11.4741,0.509292,0.47872,0.0152691
19,11.8442,26.7204,1.18637,11.7947,26.5507,1.19011,11.7997,26.5524,1.19,21.3623,19.7506,0.704766,12.2318,26.3969,1.18847,0.176765,0.00374364,0.173841,0.00363491,11.7971,0.481604,0.504857,0.00209644
19.5,12.0878,27.3227,1.22719,12.0485,27.1633,1.17332,12.0538,27.1646,1.17319,21.8727,20.1777,0.698947,12.4845,27.0079,1.18046,0.164209,0.053874,0.161733,0.0540027,12.1159,0.528246,0.506438,0.0467348
20,12.2909,27.8903,1.33761,12.2262,27.8101,1.33011,12.2332,27.8142,1.32998,22.4624,20.5201,0.104419,12.6807,27.6498,1.26225,0.10306,0.00750366,0.0955722,0.00763726,12.561,1.23319,0.458042,0.075367
20.5,12.4419,28.5259,1.2935,12.3806,28.3992,1.32084,12.3876,28.4032,1.3207,23.0672,20.6197,0.347157,12.8534,28.2338,1.27925,0.140678,0.0273363,0.134181,0.0272034,13.2441,0.946342,0.50466,0.0142497
21,12.587,29.0358,1.32046,12.5467,29.0346,1.3247,12.554,29.0383,1.32454,23.6788,20.8758,0.484347,13.0298,28.865,1.2973,0.0402552,0.00424016,0.0330872,0.0040814,13.7701,0.83611,0.474567,0.0231569
21.5,12.7312,29.5998,1.35035,12.6931,29.6462,1.34876,12.7004,29.6497,1.34859,24.2369,21.1749,0.511054,13.1797,29.4749,1.32383,0.0600384,0.00159362,0.0586577,0.00176433,14.2604,0.8393,0.465529,0.026524
22,12.8512,30.1353,1.31423,12.8314,30.2276,1.32145,12.8386,30.2311,1.3213,24.7595,21.4735,0.550539,13.3457,30.0476,1.29849,0.0943588,0.00722171,0.0966471,0.00707356,14.7253,0.763688,0.502175,0.0157347
22.5,13.0165,30.7654,1.32151,12.9946,30.8434,1.30721,13.0019,30.8468,1.30706,25.3045,21.811,0.566624,13.5247,30.6578,1.28911,0.08097,0.0142982,0.0826631,0.0144492,15.2045,0.754886,0.519479,0.0323982
23,13.2008,31.4893,1.37432,13.115,31.3564,1.35128,13.1218,31.36,1.35113,25.7577,22.0866,0.51966,13.6543,31.1682,1.32289,0.158241,0.0230398,0.151588,0.0231874,15.6871,0.854661,0.555642,0.0514289
23.5,13.3394,32.1855,1.366,13.26,31.9869,1.34949,13.267,31.9903,1.34934,26.3221,22.4109,0.523453,13.8135,31.7942,1.32995,0.213891,0.0165182,0.208155,0.0166638,16.251,0.84255,0.614721,0.0360584
24,13.4624,32.7779,1.33226,13.4491,32.7229,1.32059,13.4571,32.7259,1.32042,26.9787,22.8018,0.549953,14.0132,32.5256,1.311,0.0566225,0.0116742,0.0523277,0.0118404,16.7992,0.782311,0.605844,0.0212686
