time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.49341,5.49341,0.790479,3.4298,5.42544,0.790263,3.4298,5.42544,0.790259,3.42888,5.42721,0.7842,3.43049,5.42567,0.791625,0.0930967,0.000215952,0.0930967,0.000219716,0.0924505,0.00627906,0.0924537,0.00114589
1,3.87675,5.88067,0.786376,3.90202,5.91258,0.810961,3.90201,5.91258,0.810972,3.90509,5.9123,0.800728,3.9013,5.91203,0.80717,0.0407075,0.0245851,0.0407002,0.0245963,0.0424766,0.0143525,0.0398251,0.0207938
1.5,4.30301,6.30776,0.789592,4.31451,6.33121,0.77333,4.31452,6.33123,0.773326,4.32255,6.32871,0.758861,4.31587,6.33021,0.776945,0.026127,0.0162619,0.0261443,0.0162656,0.0286538,0.0307308,0.0258771,0.012647
2,4.75971,6.76831,0.757331,4.81245,6.82023,0.75965,4.81245,6.82026,0.759666,4.82757,6.81318,0.746124,4.81308,6.8177,0.755635,0.0740032,0.00231879,0.0740253,0.00233503,0.081348,0.0112068,0.0727197,0.00169573
2.5,5.20854,7.19263,0.725554,5.2571,7.24111,0.764435,5.25709,7.24114,0.76444,5.27945,7.22952,0.750471,5.25903,7.23762,0.763612,0.0686131,0.038881,0.0686341,0.0388861,0.0799309,0.024917,0.0676273,0.0380577
3,5.68564,7.61578,0.740332,5.71907,7.68647,0.772133,5.71906,7.68651,0.77214,5.7494,7.66962,0.756442,5.72115,7.68238,0.770624,0.0781954,0.0318016,0.0782263,0.0318078,0.0834504,0.0161099,0.0754725,0.0302926
3.5,6.08973,7.985,0.786393,6.15031,8.11189,0.796127,6.1503,8.11192,0.796128,6.18999,8.08872,0.779194,6.15242,8.10812,0.795074,0.140604,0.00973481,0.140624,0.00973591,0.144252,0.00719904,0.138156,0.00868119
4,6.48661,8.38267,0.774211,6.61275,8.57331,0.769785,6.61274,8.57337,0.769794,6.66087,8.5446,0.744926,6.61575,8.56828,0.772606,0.228591,0.00442574,0.228635,0.00441631,0.237882,0.0292845,0.226115,0.00160458
4.5,6.8742,8.76168,0.842794,7.06961,9.04246,0.836777,7.06956,9.04251,0.836789,7.13518,8.99948,0.813628,7.06856,9.04006,0.829553,0.342082,0.00601654,0.342103,0.00600446,0.353076,0.029166,0.339521,0.0132411
5,7.29904,9.23832,0.812618,7.43987,9.4557,0.840143,7.43986,9.45573,0.840135,7.51782,9.4047,0.808602,7.4409,9.45271,0.840879,0.259017,0.0275247,0.259033,0.027517,0.274861,0.0040159,0.257078,0.0282608
