time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.51112,5.51112,0.827593,3.44156,5.42728,0.818089,3.44154,5.42725,0.818086,3.44122,5.42883,0.814058,3.4421,5.42734,0.818754,0.108934,0.00950474,0.108969,0.00950768,0.107964,0.0135358,0.108546,0.00883975
1,3.91903,5.95499,0.862071,3.83662,5.84404,0.83754,3.8366,5.844,0.837526,3.83938,5.84489,0.830606,3.83725,5.84558,0.841112,0.138207,0.0245305,0.138252,0.0245449,0.135892,0.0314648,0.136592,0.0209583
1.5,4.38393,6.49727,0.833509,4.24005,6.28678,0.831875,4.24004,6.28674,0.831862,4.24744,6.28579,0.818131,4.2394,6.29015,0.836963,0.254969,0.0016338,0.255006,0.00164669,0.251698,0.0153778,0.252559,0.0034543
2,4.86391,7.0258,0.81803,4.68337,6.77277,0.82863,4.68337,6.77274,0.828636,4.69856,6.76721,0.810783,4.68112,6.77642,0.829323,0.31084,0.0105997,0.310867,0.0106055,0.30694,0.00724705,0.309198,0.0112925
2.5,5.35734,7.55253,0.849629,5.11148,7.25454,0.868427,5.11145,7.2545,0.868434,5.13892,7.24075,0.849842,5.10702,7.25894,0.863983,0.386324,0.0187986,0.386369,0.0188057,0.380678,0.000212867,0.385819,0.0143544
3,5.81606,8.07432,0.808017,5.61817,7.80191,0.758136,5.61822,7.80208,0.758183,5.65189,7.78434,0.705905,5.61656,7.80292,0.782393,0.336703,0.0498812,0.336531,0.0498345,0.333224,0.102112,0.336836,0.0256242
3.5,6.20409,8.48032,0.807218,6.06198,8.24249,0.804597,6.06201,8.24269,0.804623,6.12275,8.20055,0.769476,6.0494,8.25348,0.815176,0.277056,0.0026209,0.276872,0.0025955,0.291356,0.037742,0.274567,0.00795806
4,6.65582,8.9522,0.709975,6.5399,8.67065,0.648254,6.53989,8.67083,0.648265,6.60177,8.6288,0.627921,6.53882,8.67242,0.672855,0.304482,0.0617215,0.304315,0.0617102,0.327883,0.0820548,0.303256,0.0371206
4.5,7.09505,9.32971,0.664015,7.00838,9.01624,0.65255,7.00838,9.0164,0.652554,7.07867,8.96721,0.635193,7.00242,9.0252,0.665102,0.325233,0.0114644,0.325077,0.0114604,0.36287,0.0288213,0.318286,0.00108784
5,7.53465,9.67373,0.636269,7.50936,9.41208,0.691858,7.50936,9.41226,0.691866,7.58968,9.35432,0.676059,7.49723,9.42763,0.697071,0.26287,0.0555893,0.262691,0.0555967,0.324114,0.0397904,0.248929,0.0608018
5.5,8.08116,10.0775,0.648399,7.97303,9.78847,0.682216,7.97303,9.78863,0.682222,8.0607,9.72536,0.663551,7.95996,9.80559,0.686792,0.30857,0.033817,0.308413,0.0338228,0.352697,0.0151523,0.297672,0.0383933
6,8.56936,10.4474,0.570055,8.46928,10.1615,0.588829,8.4693,10.1617,0.588839,8.56249,10.0945,0.566646,8.45736,10.1775,0.593272,0.30285,0.0187741,0.30268,0.0187847,0.352905,0.00340807,0.292157,0.0232175
6.5,9.10821,10.7928,0.517431,8.94149,10.452,0.556047,8.94153,10.4521,0.55605,9.04132,10.3786,0.53677,8.93065,10.4684,0.560144,0.379376,0.0386157,0.379244,0.0386184,0.419547,0.0193385,0.369839,0.0427133
7,9.57665,11.0594,0.619922,9.47804,10.794,0.584705,9.47807,10.7941,0.584709,9.58668,10.7112,0.568492,9.46531,10.8125,0.58715,0.283155,0.0352168,0.283017,0.035213,0.348362,0.0514301,0.270869,0.0327723
7.5,10.0973,11.431,0.651431,9.9053,11.0597,0.601927,9.90539,11.0597,0.601921,10.0198,10.9722,0.585775,9.89402,11.0796,0.608143,0.418049,0.0495033,0.417958,0.0495101,0.465303,0.0656554,0.406018,0.0432881
8,10.5188,11.7524,0.679059,10.4217,11.4165,0.613397,10.4218,11.4165,0.613394,10.5441,11.3216,0.595389,10.4083,11.4388,0.616176,0.349712,0.0656617,0.349636,0.0656651,0.43159,0.0836702,0.332561,0.0628834
8.5,11.028,12.1634,0.705529,10.9579,11.8042,0.6407,10.958,11.8042,0.640701,11.0899,11.6996,0.621492,10.9425,11.8277,0.64083,0.366059,0.0648292,0.365977,0.0648288,0.467901,0.0840371,0.346518,0.064699
9,11.5577,12.6146,0.667896,11.4021,12.1353,0.661621,11.4022,12.1353,0.661615,11.5427,12.0234,0.64129,11.3873,12.1593,0.664907,0.503921,0.00627488,0.503871,0.0062812,0.591408,0.0266058,0.486061,0.00298889
9.5,12.1224,13.0601,0.748953,11.9162,12.548,0.703012,11.9163,12.548,0.70301,12.0686,12.4245,0.680091,11.899,12.5735,0.700494,0.552057,0.0459406,0.552005,0.0459425,0.637854,0.0688619,0.535439,0.0484592
