time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.3675,5.3675,0.790332,3.43011,5.42846,0.785198,3.43011,5.42847,0.785195,3.429,5.43029,0.778497,3.43068,5.42868,0.786385,0.0873785,0.00513356,0.0873849,0.00513656,0.0878848,0.0118347,0.087941,0.00394661
1,3.77115,5.77516,0.785148,3.846,5.83392,0.761944,3.84602,5.83393,0.761934,3.84869,5.83429,0.752011,3.84684,5.83544,0.765835,0.0951581,0.0232037,0.0951777,0.0232135,0.0975096,0.0331368,0.096756,0.0193125
1.5,4.13812,6.14194,0.877785,4.28875,6.27619,0.846416,4.28875,6.27618,0.846408,4.29907,6.27162,0.838025,4.28646,6.28019,0.848048,0.201764,0.0313692,0.201763,0.0313776,0.206684,0.0397601,0.202775,0.0297369
2,4.60036,6.69858,0.898365,4.68782,6.73068,0.863775,4.68782,6.73066,0.863765,4.70447,6.72303,0.848818,4.68473,6.73556,0.864774,0.0931571,0.0345905,0.0931515,0.0346007,0.106937,0.0495478,0.0921148,0.033591
2.5,4.99129,7.18956,0.94572,5.06244,7.18282,0.901802,5.06242,7.18274,0.901779,5.08997,7.16877,0.884475,5.05828,7.18852,0.898123,0.0714684,0.0439178,0.0714562,0.0439405,0.10085,0.0612448,0.0669996,0.0475971
3,5.40323,7.76044,0.865095,5.43611,7.66458,0.922629,5.43605,7.66441,0.922603,5.47667,7.6429,0.89448,5.43325,7.66845,0.914739,0.101338,0.0575334,0.101479,0.0575079,0.138594,0.029385,0.0967592,0.0496438
3.5,5.74931,8.16659,0.804936,5.78845,8.0943,0.873008,5.78914,8.09501,0.872931,5.84844,8.06025,0.722266,5.78349,8.10447,0.898183,0.0822049,0.0680725,0.0819141,0.067995,0.145382,0.0826701,0.0709054,0.0932467
4,6.17123,8.60533,0.793485,6.20578,8.52168,0.809123,6.20697,8.52291,0.809076,6.2988,8.45648,0.740988,6.1788,8.55487,0.870081,0.0905067,0.0156381,0.0898418,0.0155915,0.196032,0.0524968,0.0510267,0.0765962
4.5,6.61797,9.05935,0.753272,6.65694,9.00181,0.818434,6.65804,9.00303,0.81844,6.78239,8.90968,0.774797,6.61985,9.04424,0.854711,0.0694987,0.0651623,0.0691255,0.0651676,0.22234,0.0215248,0.0152275,0.101439
5,7.13431,9.54354,0.784069,7.12567,9.51212,0.830743,7.12663,9.51343,0.830774,7.2762,9.4,0.792965,7.07846,9.56035,0.852118,0.0325784,0.0466744,0.0310679,0.0467059,0.20183,0.00889627,0.0583272,0.0680494
5.5,7.59236,10.0004,0.798301,7.58666,9.98908,0.792565,7.58743,9.99036,0.792602,7.74927,9.86811,0.750096,7.54295,10.0337,0.826229,0.0126411,0.00573613,0.0111551,0.00569938,0.205214,0.048205,0.0596111,0.0279273
6,7.94559,10.3628,0.869728,7.99863,10.4264,0.832721,7.99943,10.4277,0.832731,8.18702,10.2842,0.79252,7.92444,10.4958,0.857507,0.0828229,0.0370069,0.0842955,0.0369974,0.253902,0.0772084,0.134632,0.0122209
