time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.38723,5.38723,0.746827,3.4542,5.45297,0.80182,3.45419,5.45296,0.801824,3.45284,5.4548,0.794466,3.45364,5.45276,0.80049,0.0938359,0.0549929,0.0938218,0.0549968,0.0941756,0.047639,0.0932934,0.0536633
1,3.75765,5.73013,0.771611,3.88597,5.89753,0.798964,3.88597,5.89753,0.798965,3.88898,5.89731,0.788218,3.88611,5.89694,0.799086,0.210932,0.0273532,0.210923,0.0273538,0.212597,0.0166076,0.210541,0.0274749
1.5,4.165,6.12639,0.749843,4.30633,6.31905,0.778223,4.30633,6.31905,0.778217,4.31474,6.31614,0.765052,4.30695,6.31902,0.781419,0.238939,0.0283797,0.238941,0.028374,0.241716,0.0152089,0.239287,0.0315762
2,4.709,6.63302,0.67459,4.74429,6.74309,0.764218,4.7443,6.74308,0.764213,4.75902,6.73657,0.750335,4.74436,6.74401,0.767078,0.115585,0.0896281,0.115586,0.089623,0.115,0.0757451,0.116482,0.092488
2.5,5.27699,7.08727,0.635442,5.18393,7.14505,0.718994,5.18395,7.14504,0.718987,5.20373,7.13598,0.703721,5.18477,7.14612,0.72347,0.109538,0.0835515,0.109511,0.0835444,0.0879793,0.0682788,0.109397,0.0880283
3,5.87597,7.52901,0.760426,5.65957,7.58164,0.779466,5.6596,7.58164,0.779464,5.68976,7.56463,0.766553,5.65661,7.58585,0.780248,0.222704,0.0190406,0.222679,0.0190381,0.189583,0.00612701,0.2266,0.0198226
3.5,6.30975,7.94165,0.754487,6.12267,8.04833,0.807018,6.12268,8.04833,0.807021,6.16176,8.02531,0.789943,6.11874,8.05227,0.803595,0.215356,0.0525307,0.215348,0.0525336,0.17,0.0354561,0.220729,0.0491081
4,6.82575,8.4267,0.799627,6.53609,8.48477,0.824697,6.53609,8.48475,0.824693,6.5855,8.45499,0.803271,6.53298,8.48815,0.822602,0.295428,0.0250705,0.295418,0.0250666,0.241907,0.00364439,0.299153,0.0229759
4.5,7.21343,8.82557,0.943212,6.92762,8.91845,0.850211,6.92762,8.91838,0.850196,6.9903,8.87966,0.825187,6.92459,8.92194,0.846613,0.300529,0.0930008,0.300508,0.0930155,0.229594,0.118025,0.304496,0.0965983
