time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.52149,5.52149,0.771846,3.41404,5.42219,0.754475,3.41406,5.42223,0.75447,3.41238,5.42425,0.745868,3.41496,5.42267,0.756812,0.146315,0.0173705,0.146271,0.0173755,0.146156,0.0259775,0.145315,0.0150342
1,3.89317,5.88323,0.734397,3.88932,5.87932,0.795772,3.88934,5.87935,0.795776,3.89288,5.87832,0.787814,3.88841,5.88013,0.794521,0.00549015,0.0613749,0.00545828,0.0613788,0.00492581,0.0534169,0.00568582,0.0601241
1.5,4.38891,6.33082,0.774704,4.31053,6.29371,0.754725,4.31056,6.29376,0.754721,4.31819,6.29116,0.741241,4.31074,6.29484,0.758521,0.0867195,0.0199791,0.0866705,0.0199833,0.081077,0.0334633,0.0860543,0.0161834
2,4.76843,6.70231,0.814812,4.74549,6.71807,0.818158,4.74551,6.7181,0.818151,4.76241,6.70912,0.806379,4.74287,6.72214,0.820691,0.0278384,0.00334576,0.0278318,0.00333808,0.00909336,0.00843334,0.0323509,0.00587818
2.5,5.23783,7.20017,0.778417,5.17201,7.16527,0.799245,5.17205,7.16531,0.799242,5.19557,7.15274,0.779669,5.16862,7.17036,0.804165,0.0744992,0.020828,0.074444,0.0208252,0.0635235,0.00125271,0.0753528,0.025748
3,5.6555,7.61205,0.697389,5.62403,7.59969,0.723529,5.6241,7.59976,0.723531,5.65281,7.5846,0.702505,5.62172,7.60442,0.734368,0.033813,0.02614,0.0337145,0.0261423,0.0275773,0.00511651,0.034631,0.0369793
3.5,6.21652,8.08209,0.775553,6.04234,7.97738,0.770945,6.04244,7.97744,0.770934,6.08365,7.95231,0.752221,6.03308,7.99056,0.781866,0.203232,0.00460805,0.203116,0.00461941,0.185733,0.023332,0.205009,0.00631216
4,6.6789,8.53545,0.836815,6.46812,8.40077,0.807469,6.46822,8.40081,0.807455,6.52067,8.36763,0.788712,6.45332,8.4193,0.813516,0.250133,0.029346,0.250025,0.0293598,0.230645,0.0481026,0.253722,0.0232992
4.5,7.05966,8.95753,0.851907,6.8551,8.8167,0.84167,6.85521,8.81668,0.841645,6.91913,8.776,0.821166,6.83673,8.8389,0.844886,0.248354,0.0102371,0.248275,0.010262,0.229571,0.0307404,0.252526,0.00702017
5,7.51011,9.47226,0.838889,7.30178,9.33233,0.888059,7.30179,9.33223,0.888056,7.38241,9.27959,0.86185,7.28188,9.35276,0.870971,0.250965,0.0491704,0.251013,0.0491674,0.231148,0.022961,0.25762,0.0320818
5.5,7.95786,9.97067,0.826784,7.67483,9.79963,0.901024,7.6747,9.79932,0.901006,7.77146,9.73688,0.869668,7.66078,9.81392,0.88524,0.330701,0.0742406,0.330968,0.0742219,0.299006,0.042884,0.335902,0.0584564
6,8.4155,10.4678,0.859165,8.079,10.3065,0.905931,8.07866,10.306,0.905923,8.20513,10.2228,0.787403,8.07005,10.3149,0.892134,0.373162,0.0467652,0.373703,0.0467578,0.322955,0.0717627,0.377808,0.0329687
6.5,8.76225,10.8699,0.859695,8.49256,10.826,0.909217,8.49192,10.8251,0.909211,8.67481,10.6976,0.805668,8.48708,10.8296,0.89775,0.273249,0.0495223,0.274025,0.0495168,0.193257,0.0540262,0.278122,0.0380555
7,9.19177,11.3685,0.910738,8.83543,11.2653,0.90898,8.83391,11.2632,0.909011,9.0594,11.1059,0.831065,8.82686,11.2665,0.904175,0.371007,0.00175849,0.373036,0.00172671,0.294114,0.0796726,0.378906,0.00656314
7.5,9.64322,11.9502,0.945038,9.1973,11.724,0.909435,9.19481,11.7208,0.909494,9.45583,11.5408,0.827704,9.18407,11.7236,0.908191,0.499988,0.0356033,0.503682,0.0355436,0.450247,0.117334,0.512017,0.0368468
8,10.0274,12.4818,0.981285,9.52821,12.1568,0.913857,9.52533,12.1535,0.914056,9.83208,11.9426,0.784528,9.51651,12.1525,0.911343,0.595671,0.067428,0.599913,0.0672297,0.573496,0.196757,0.607829,0.0699419
8.5,10.3808,13.0102,1.06472,9.88845,12.6324,0.920632,9.88571,12.6297,0.920906,10.264,12.3645,0.75118,9.88152,12.6249,0.916241,0.620613,0.144091,0.624436,0.143817,0.656179,0.313544,0.630708,0.148482
9,10.6447,13.4864,1.04785,10.3044,13.1652,0.923703,10.3021,13.1619,0.923629,10.7636,12.8308,0.748171,10.2933,13.1608,0.922498,0.467975,0.124152,0.471883,0.124226,0.666296,0.299683,0.479145,0.125356
9.5,11.0005,14.1034,0.984103,10.6651,13.6138,0.920324,10.661,13.6098,0.920643,11.1894,13.2277,0.764168,10.6491,13.6076,0.920457,0.593489,0.0637784,0.599138,0.0634602,0.895914,0.219935,0.607704,0.0636462
10,11.3734,14.6644,0.965924,11.1468,14.131,0.901704,11.1418,14.1211,0.901038,11.6958,13.7223,0.805664,11.0909,14.145,0.91656,0.579487,0.0642203,0.59061,0.0648859,0.995757,0.16026,0.591221,0.0493638
10.5,11.7436,15.1999,0.918443,11.5337,14.6035,0.902932,11.5241,14.5908,0.902991,12.1193,14.1681,0.82565,11.4732,14.6107,0.913525,0.632271,0.0155109,0.647511,0.0154517,1.09811,0.0927924,0.64825,0.00491774
11,12.1576,15.7419,0.944376,12.0025,15.1497,0.90048,11.9923,15.1296,0.899597,12.6215,14.6878,0.772061,11.9251,15.1605,0.912429,0.612185,0.0438963,0.634186,0.0447792,1.15168,0.172315,0.62617,0.031947
11.5,12.5527,16.2878,0.922841,12.3881,15.6178,0.901873,12.3735,15.5955,0.901693,13.0595,15.1159,0.782763,12.3022,15.6271,0.912553,0.68992,0.020968,0.715165,0.0211483,1.27681,0.140078,0.706597,0.0102879
12,12.9756,16.8466,0.941934,12.7711,16.0694,0.900746,12.7511,16.0435,0.90101,13.4798,15.5401,0.80754,12.6723,16.0784,0.911421,0.803623,0.0411885,0.83384,0.0409243,1.4004,0.134394,0.825856,0.0305125
12.5,13.3267,17.3292,0.886968,13.2466,16.5993,0.89611,13.2265,16.5627,0.895096,13.9773,16.0515,0.802194,13.127,16.6141,0.908976,0.734269,0.00914129,0.772983,0.00812753,1.43383,0.0847746,0.74246,0.0220078
13,13.7121,17.8021,0.823529,13.6793,17.1036,0.896318,13.6547,17.061,0.895669,14.446,16.5286,0.789523,13.5483,17.1176,0.908256,0.699332,0.0727892,0.743391,0.0721404,1.46985,0.0340062,0.703896,0.0847274
13.5,14.1047,18.2259,0.818932,14.1075,17.5974,0.895946,14.0799,17.5486,0.895268,14.9146,16.9923,0.767675,13.9626,17.614,0.908213,0.628523,0.0770141,0.677731,0.0763365,1.47567,0.0512564,0.628217,0.0892814
14,14.5124,18.6618,0.965547,14.5113,18.0696,0.896602,14.4801,18.0169,0.896134,15.3706,17.4261,0.748973,14.3531,18.0894,0.909269,0.592288,0.068945,0.64574,0.0694136,1.50453,0.216574,0.594177,0.0562778
14.5,14.8353,19.1285,0.99811,14.9381,18.542,0.893972,14.9029,18.4826,0.893446,15.839,17.8651,0.767124,14.7608,18.5674,0.908026,0.595451,0.104138,0.649518,0.104664,1.61366,0.230986,0.566103,0.0900843
15,15.1676,19.6439,1.09527,15.393,19.0593,0.89444,15.3629,18.9926,0.892881,16.3558,18.3364,0.67469,15.2068,19.0918,0.90888,0.626576,0.20083,0.680024,0.202388,1.76678,0.420579,0.553539,0.186389
