time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.41385,5.41385,0.769711,3.47063,5.49466,0.764502,3.47065,5.49469,0.764517,3.46736,5.49705,0.7509,3.46832,5.49409,0.760144,0.098768,0.00520851,0.0988013,0.00519369,0.0989212,0.0188102,0.0969807,0.00956712
1,3.80724,5.79509,0.787888,3.91875,5.92979,0.817507,3.91875,5.92981,0.817513,3.92301,5.92721,0.807413,3.91794,5.92804,0.815401,0.174868,0.0296197,0.174883,0.0296255,0.175664,0.0195254,0.173005,0.0275135
1.5,4.28642,6.27666,0.771645,4.35919,6.38974,0.782129,4.35921,6.38978,0.782135,4.36885,6.38438,0.765747,4.35945,6.38713,0.783409,0.134469,0.0104838,0.134513,0.0104895,0.135639,0.00589866,0.132425,0.0117635
2,4.80953,6.78557,0.624628,4.82196,6.81483,0.679141,4.822,6.8149,0.679145,4.83519,6.80818,0.663448,4.82466,6.81038,0.683053,0.0317938,0.0545136,0.0318723,0.0545178,0.0342033,0.0388207,0.0290558,0.0584254
2.5,5.33387,7.16358,0.628936,5.33267,7.23275,0.680532,5.3327,7.23283,0.680539,5.35324,7.22056,0.669639,5.33435,7.22837,0.679091,0.0691831,0.0515964,0.0692587,0.0516032,0.0601843,0.0407031,0.064792,0.050155
3,5.83814,7.53043,0.643176,5.82377,7.62695,0.671185,5.82379,7.62703,0.671189,5.84981,7.61133,0.659337,5.8262,7.62164,0.670142,0.0975844,0.028009,0.0976578,0.0280135,0.0817344,0.0161613,0.0919854,0.0269662
3.5,6.28302,7.86387,0.58537,6.2956,7.97645,0.606469,6.29563,7.97652,0.60647,6.3255,7.95907,0.592416,6.29971,7.97033,0.607133,0.113287,0.0210986,0.113359,0.0210994,0.104254,0.00704549,0.107764,0.0217622
4,6.90775,8.27798,0.616182,6.817,8.34061,0.612816,6.81703,8.34068,0.612819,6.85354,8.31771,0.60131,6.82089,8.3345,0.61209,0.110262,0.003366,0.110281,0.00336343,0.0672121,0.0148725,0.103629,0.00409245
4.5,7.51868,8.71062,0.611016,7.30492,8.68277,0.631139,7.30495,8.68283,0.631138,7.34745,8.65544,0.619684,7.30931,8.67691,0.631599,0.215569,0.0201224,0.215531,0.0201218,0.179904,0.00866811,0.212068,0.0205827
5,7.95474,9.01605,0.500199,7.75043,8.97799,0.562086,7.75049,8.97803,0.56208,7.79645,8.94948,0.547037,7.75616,8.97319,0.565621,0.207829,0.0618873,0.207764,0.0618813,0.17172,0.0468379,0.203158,0.0654226
5.5,8.51204,9.32065,0.540111,8.29715,9.32371,0.557522,8.2972,9.32375,0.557522,8.34971,9.28906,0.544962,8.30189,9.31953,0.556678,0.214914,0.0174116,0.21486,0.0174109,0.165373,0.00485117,0.210153,0.0165673
6,8.99895,9.61259,0.651374,8.86304,9.70305,0.631788,8.86308,9.70311,0.63179,8.92368,9.66023,0.621082,8.86685,9.69856,0.630592,0.163264,0.0195863,0.163264,0.0195845,0.0890793,0.0302925,0.157619,0.0207822
6.5,9.42504,9.93742,0.627777,9.35204,10.0665,0.659861,9.35208,10.0665,0.65986,9.41918,10.0187,0.64614,9.35633,10.0616,0.658927,0.148279,0.0320839,0.148302,0.0320834,0.0814789,0.0183634,0.141957,0.0311503
7,9.90971,10.2892,0.645121,9.77874,10.3987,0.673406,9.77879,10.3987,0.673398,9.85269,10.3462,0.657289,9.78381,10.3948,0.676543,0.170713,0.0282851,0.170678,0.028277,0.0806177,0.012168,0.164377,0.0314226
7.5,10.4044,10.6614,0.58181,10.3014,10.7959,0.61675,10.3014,10.7959,0.616753,10.3818,10.7383,0.590886,10.3066,10.7916,0.622671,0.169414,0.0349404,0.169404,0.0349432,0.0801918,0.00907605,0.162877,0.0408606
8,10.9204,11.0008,0.557294,10.7927,11.1305,0.585687,10.7928,11.1305,0.585684,10.8813,11.065,0.565142,10.7984,11.1263,0.590683,0.181985,0.028393,0.18195,0.0283901,0.0751402,0.00784803,0.17505,0.0333886
8.5,11.3524,11.27,0.55593,11.3107,11.4676,0.571409,11.3107,11.4676,0.571407,11.407,11.3943,0.55289,11.3162,11.4637,0.573295,0.201944,0.0154791,0.201945,0.0154762,0.13577,0.0030402,0.19698,0.017365
9,11.7777,11.5343,0.572508,11.7666,11.7538,0.577741,11.7667,11.7538,0.577732,11.8701,11.6738,0.559739,11.7723,11.7518,0.582352,0.219798,0.00523293,0.219767,0.00522388,0.167305,0.0127695,0.217549,0.00984354
9.5,12.3758,11.9198,0.584962,12.2871,12.1028,0.617118,12.2872,12.1028,0.61711,12.3998,12.0131,0.599543,12.2906,12.1036,0.61821,0.203416,0.0321552,0.203344,0.0321478,0.0963781,0.0145803,0.20261,0.0332476
10,12.8074,12.2056,0.632266,12.7729,12.4494,0.630039,12.773,12.4493,0.630031,12.8941,12.3518,0.60968,12.7761,12.4511,0.631512,0.246213,0.00222702,0.246148,0.0022355,0.169953,0.0225861,0.247441,0.000754276
10.5,13.344,12.5987,0.590979,13.3335,12.8501,0.609972,13.3336,12.8501,0.609971,13.4641,12.7427,0.583939,13.3362,12.8506,0.610053,0.251576,0.0189927,0.251554,0.0189921,0.187469,0.00704014,0.252047,0.0190737
11,13.8695,12.9513,0.577349,13.823,13.1911,0.613179,13.8231,13.1911,0.613174,13.9642,13.0726,0.588536,13.8256,13.1922,0.615581,0.244277,0.0358298,0.244224,0.0358247,0.153838,0.0111872,0.244857,0.0382316
11.5,14.4165,13.3076,0.606064,14.333,13.561,0.650444,14.3331,13.5609,0.650439,14.4868,13.4287,0.626041,14.3333,13.5647,0.648636,0.266728,0.0443799,0.266662,0.0443749,0.139979,0.0199768,0.270178,0.0425718
12,14.8763,13.6263,0.73888,14.794,13.9266,0.693432,14.7941,13.9265,0.693423,14.9607,13.7813,0.667845,14.7935,13.9313,0.686865,0.311344,0.0454475,0.311246,0.0454566,0.176439,0.0710346,0.316041,0.0520143
12.5,15.4208,14.1224,0.706975,15.276,14.3374,0.725347,15.2761,14.3373,0.725339,15.4579,14.1772,0.693507,15.2775,14.3385,0.709332,0.25926,0.0183713,0.259133,0.0183639,0.0661585,0.013468,0.259306,0.00235681
13,15.8321,14.4737,0.781723,15.7732,14.7812,0.745291,15.7731,14.7809,0.745292,15.9746,14.6018,0.701896,15.7803,14.7735,0.723061,0.31306,0.036432,0.312828,0.0364306,0.191521,0.0798269,0.304233,0.0586623
13.5,16.2778,14.9161,0.864622,16.253,15.213,0.742442,16.2548,15.2147,0.742477,16.5217,14.9622,0.310247,16.2803,15.188,0.707765,0.297946,0.12218,0.299438,0.122145,0.248239,0.554375,0.271901,0.156857
14,16.7015,15.4129,0.904059,16.7431,15.6435,0.735908,16.7475,15.6477,0.736064,17.1369,15.1985,0.470161,16.7998,15.5914,0.687465,0.234296,0.168152,0.239277,0.167996,0.485417,0.433899,0.203833,0.216594
14.5,17.0143,15.8104,0.932533,17.2546,16.0792,0.728224,17.2606,16.0854,0.72862,17.7352,15.5232,0.545297,17.3405,15.9967,0.672808,0.360541,0.204309,0.369161,0.203913,0.77604,0.387236,0.375687,0.259725
15,17.4004,16.3308,0.910649,17.7288,16.4996,0.732759,17.7344,16.506,0.733183,18.2794,15.8611,0.583458,17.8335,16.3947,0.680497,0.369223,0.17789,0.377203,0.177466,0.996707,0.327192,0.437855,0.230152
15.5,17.8347,16.8903,0.89346,18.2131,16.9355,0.73945,18.2181,16.9417,0.739885,18.8284,16.2246,0.597203,18.3389,16.806,0.68697,0.38111,0.154011,0.386781,0.153576,1.19608,0.296258,0.511222,0.206491
