time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.3797,5.3797,0.815156,3.42665,5.41546,0.801292,3.42664,5.41545,0.801286,3.42624,5.41708,0.796889,3.42775,5.41577,0.803339,0.059017,0.0138644,0.0590031,0.0138707,0.0596899,0.0182679,0.0600866,0.0118177
1,3.763,5.78652,0.766053,3.88444,5.88474,0.73407,3.88446,5.88476,0.734081,3.88654,5.88558,0.718332,3.885,5.88464,0.73386,0.15619,0.0319833,0.156217,0.0319727,0.158352,0.0477215,0.156567,0.0321937
1.5,4.22393,6.22995,0.823721,4.33592,6.30635,0.801015,4.33593,6.30637,0.801018,4.34746,6.30019,0.789407,4.33518,6.30773,0.801952,0.135564,0.0227056,0.135582,0.0227025,0.142097,0.0343136,0.135743,0.0217686
2,4.56928,6.60284,0.849163,4.78258,6.78811,0.866596,4.78256,6.78811,0.866603,4.80292,6.77629,0.854338,4.78066,6.78901,0.860862,0.282523,0.0174332,0.282508,0.0174402,0.290985,0.00517493,0.28167,0.0116989
2.5,4.94598,7.03093,0.842171,5.20052,7.27088,0.847911,5.20052,7.27092,0.847921,5.22945,7.25407,0.816196,5.20037,7.27035,0.850464,0.349813,0.00573918,0.349845,0.00574937,0.36076,0.0259757,0.34934,0.00829302
3,5.39713,7.53645,0.909742,5.56161,7.69349,0.880417,5.5616,7.69347,0.880396,5.60901,7.66361,0.849796,5.55918,7.69567,0.881885,0.227409,0.0293249,0.227381,0.0293453,0.247108,0.0599454,0.227175,0.0278564
3.5,5.72035,7.952,0.921688,5.94467,8.17216,0.911376,5.9446,8.17205,0.911355,6.01201,8.12877,0.878762,5.94137,8.17382,0.903352,0.314305,0.0103115,0.314185,0.0103324,0.341044,0.042926,0.313136,0.0183359
4,6.15474,8.52448,0.95522,6.33928,8.69175,0.934097,6.33901,8.69139,0.934103,6.42903,8.63358,0.8973,6.33943,8.68801,0.917896,0.249063,0.0211228,0.248628,0.0211168,0.295195,0.0579205,0.246686,0.037324
4.5,6.54252,9.07277,1.01892,6.69469,9.17554,0.939384,6.69437,9.17507,0.939371,6.8134,9.09861,0.838151,6.7008,9.1662,0.925387,0.183615,0.0795319,0.183091,0.0795441,0.272101,0.180765,0.18379,0.0935286
