time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.41351,5.41351,0.787372,3.44144,5.46498,0.744338,3.44148,5.46503,0.744345,3.43847,5.46737,0.731524,3.44049,5.46492,0.743028,0.058558,0.0430342,0.0586162,0.0430277,0.0593567,0.0558477,0.058062,0.0443441
1,3.9425,5.9446,0.7896,3.93425,5.93714,0.812637,3.93427,5.93718,0.812647,3.93865,5.93456,0.804891,3.93261,5.93597,0.809811,0.0111212,0.0230371,0.0110838,0.023047,0.0107487,0.0152915,0.0131268,0.0202115
1.5,4.30933,6.31452,0.824431,4.35934,6.39203,0.840731,4.35935,6.39206,0.840735,4.36934,6.38663,0.829559,4.3587,6.38992,0.838112,0.0922421,0.0162994,0.0922659,0.0163035,0.0938072,0.00512806,0.0901247,0.0136808
2,4.74102,6.7813,0.892691,4.768,6.86406,0.890716,4.76797,6.86405,0.890717,4.7868,6.8535,0.877109,4.76802,6.86084,0.883217,0.0870474,0.00197521,0.0870287,0.0019734,0.0854945,0.0155818,0.0839986,0.00947362
2.5,5.09955,7.22638,0.92656,5.11816,7.30712,0.913834,5.11812,7.30705,0.91381,5.14644,7.29171,0.895666,5.12105,7.30247,0.9071,0.0828584,0.0127263,0.0827809,0.0127496,0.080416,0.0308943,0.0790689,0.0194605
3,5.44627,7.68796,0.933011,5.49386,7.80801,0.941838,5.4937,7.80776,0.941822,5.53709,7.78378,0.916272,5.50079,7.79885,0.925636,0.129133,0.00882751,0.128847,0.0088111,0.132017,0.0167388,0.123564,0.0073742
3.5,5.75664,8.10675,1.00394,5.87584,8.33714,0.954742,5.87534,8.33646,0.954753,5.9374,8.30213,0.919466,5.88893,8.32085,0.937663,0.259396,0.0491942,0.258565,0.0491827,0.266168,0.0844705,0.251669,0.0662734
4,6.04745,8.56362,1.04655,6.22358,8.82873,0.958087,6.22268,8.82743,0.958077,6.30668,8.78148,0.901374,6.24019,8.80747,0.946265,0.318283,0.088465,0.316697,0.088475,0.338619,0.145178,0.310824,0.100287
4.5,6.40792,9.18703,1.07652,6.57235,9.33797,0.970224,6.57274,9.33845,0.970195,6.72048,9.24806,0.711458,6.60648,9.31047,0.94949,0.223206,0.106299,0.223826,0.106327,0.31847,0.365065,0.233811,0.127033
5,6.74903,9.82001,1.07398,6.90605,9.83624,0.978902,6.90673,9.83712,0.978884,7.17495,9.64876,0.7688,6.95544,9.799,0.954374,0.157856,0.0950826,0.158629,0.0951007,0.459065,0.305184,0.207476,0.11961
5.5,7.02281,10.325,1.13892,7.16727,10.363,1.03239,7.17104,10.3683,1.0323,7.60776,10.0526,0.725645,7.29539,10.2865,0.963865,0.149386,0.106532,0.154429,0.106616,0.645269,0.413275,0.275289,0.175055
6,7.2433,10.8034,1.1429,7.44638,10.8909,1.05336,7.45014,10.8966,1.05339,8.05736,10.4532,0.750412,7.63049,10.7794,0.97194,0.221138,0.0895452,0.22687,0.0895165,0.886189,0.39249,0.387933,0.170961
6.5,7.51933,11.4086,1.16913,7.69847,11.5051,1.10684,7.7026,11.5101,1.1065,8.54034,10.9017,0.736474,7.97822,11.3354,0.991326,0.203479,0.0622908,0.209506,0.0626308,1.1399,0.432655,0.464693,0.177803
7,7.74811,11.9472,1.13808,7.98484,12.0165,1.0919,7.98874,12.0221,1.09182,8.97849,11.301,0.7611,8.30722,11.8158,0.990113,0.246662,0.0461824,0.252001,0.0462606,1.38977,0.376983,0.574336,0.14797
7.5,7.98924,12.4693,1.12762,8.21865,12.532,1.11631,8.22151,12.5375,1.11636,9.39246,11.6876,0.746571,8.60722,12.2859,0.996456,0.237835,0.0113136,0.242083,0.0112612,1.60623,0.381049,0.644598,0.131164
8,8.28442,13.0911,1.1235,8.50115,13.0708,1.09211,8.5039,13.0765,1.0922,9.83934,12.1062,0.775932,8.96159,12.7717,0.98876,0.217678,0.0313821,0.219961,0.0312999,1.84062,0.347565,0.748708,0.134736
8.5,8.5164,13.5747,1.02339,8.79409,13.6031,1.05878,8.79659,13.6089,1.0589,10.2712,12.5377,0.812715,9.3331,13.2433,0.97548,0.279127,0.0353948,0.282264,0.0355135,2.03825,0.210672,0.881378,0.0479076
9,8.86459,14.1459,1.0515,9.10587,14.1399,1.03996,9.10816,14.1457,1.04008,10.6987,12.9916,0.826126,9.70226,13.7325,0.969517,0.241348,0.0115376,0.243569,0.0114148,2.16713,0.22537,0.934125,0.0819795
9.5,9.19091,14.7168,1.03838,9.4384,14.6909,1.03042,9.4407,14.6964,1.03052,11.1391,13.4646,0.818112,10.0833,14.2412,0.96617,0.248844,0.00796119,0.250625,0.00786334,2.31591,0.220269,1.01117,0.0722116
10,9.51492,15.2667,1.04328,9.74432,15.1876,1.01873,9.74593,15.1931,1.01888,11.5376,13.8947,0.832987,10.4212,14.7052,0.964663,0.242653,0.0245517,0.242459,0.0244036,2.44413,0.210297,1.06614,0.0786214
