time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.36787,5.36787,0.8125,3.44783,5.44601,0.798359,3.44782,5.446,0.798361,3.44657,5.44783,0.791289,3.44759,5.44592,0.79772,0.111808,0.0141414,0.111798,0.0141395,0.1122,0.0212115,0.111571,0.0147806
1,3.76737,5.78964,0.798774,3.86913,5.87438,0.800022,3.86913,5.87438,0.800018,3.87212,5.87432,0.790196,3.86946,5.87461,0.801491,0.132426,0.00124811,0.132418,0.00124385,0.134694,0.00857837,0.132819,0.00271678
1.5,4.20457,6.23869,0.83108,4.31704,6.35378,0.859656,4.31702,6.35376,0.85966,4.32745,6.34915,0.849063,4.31566,6.35411,0.855924,0.160917,0.0285757,0.160884,0.0285797,0.165225,0.0179829,0.160193,0.0248444
2,4.58236,6.65267,0.768444,4.73626,6.80159,0.754759,4.73632,6.80169,0.75476,4.75097,6.79529,0.720589,4.73633,6.80269,0.775005,0.214161,0.0136851,0.214271,0.0136838,0.220844,0.0478551,0.214976,0.00656117
2.5,5.02778,7.08324,0.813498,5.15544,7.20078,0.788638,5.15551,7.20086,0.788627,5.18733,7.18005,0.762591,5.14669,7.21138,0.803607,0.173523,0.0248594,0.173628,0.0248706,0.186614,0.0509071,0.174809,0.00989026
3,5.52914,7.6136,0.855707,5.5753,7.6379,0.837783,5.57538,7.63796,0.83777,5.62246,7.60571,0.815335,5.55845,7.65572,0.845818,0.0521645,0.0179238,0.0522616,0.0179373,0.0936484,0.0403725,0.0513142,0.00988917
3.5,5.87229,8.00874,0.82048,5.96906,8.08089,0.857389,5.96914,8.08092,0.857371,6.02904,8.04028,0.832211,5.94813,8.10232,0.863316,0.120703,0.036909,0.120785,0.0368909,0.159896,0.0117316,0.120448,0.0428366
4,6.34672,8.51769,0.848948,6.37017,8.55501,0.884685,6.37022,8.55498,0.88467,6.4465,8.50332,0.85431,6.34584,8.57811,0.882973,0.0440766,0.035737,0.0440773,0.0357213,0.100812,0.00536145,0.0604308,0.0340248
4.5,6.75781,8.98465,0.939901,6.74734,9.03109,0.912699,6.74729,9.0309,0.912673,6.84376,8.966,0.879851,6.72327,9.05224,0.902204,0.0476095,0.0272028,0.0474291,0.0272281,0.0879517,0.0600503,0.075902,0.0376973
5,7.12502,9.48734,0.930364,7.108,9.50754,0.925496,7.10771,9.50694,0.925457,7.22361,9.43075,0.895462,7.0863,9.52445,0.915239,0.0264064,0.00486828,0.0261461,0.00490672,0.113677,0.0349017,0.053626,0.0151247
