time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.41172,5.41172,0.69368,3.40422,5.44524,0.683353,3.4043,5.44535,0.683353,3.40036,5.44804,0.667337,3.4043,5.44579,0.684978,0.0343475,0.010327,0.0344382,0.0103266,0.0380483,0.0263425,0.034866,0.00870146
1,3.94611,5.85609,0.772557,3.89976,5.86182,0.771704,3.89983,5.86193,0.771702,3.90463,5.85795,0.763475,3.89825,5.8638,0.774178,0.0466985,0.000852727,0.0466428,0.000854392,0.0415169,0.00908171,0.0484782,0.00162115
1.5,4.39107,6.28976,0.650763,4.36976,6.27506,0.594067,4.36988,6.27523,0.594079,4.37689,6.27091,0.57393,4.36862,6.27799,0.597922,0.0258857,0.0566959,0.0256917,0.0566835,0.0235835,0.0768323,0.0253497,0.0528407
2,4.79354,6.59621,0.630149,4.89316,6.62339,0.573443,4.89327,6.62355,0.573449,4.90747,6.61272,0.563274,4.89129,6.62679,0.573248,0.103266,0.0567058,0.103412,0.0567003,0.115125,0.0668756,0.10242,0.056901
2.5,5.38828,7.02998,0.615914,5.43492,6.98918,0.617023,5.43501,6.98935,0.617026,5.45531,6.9737,0.609599,5.43247,6.99243,0.61768,0.0619624,0.00110846,0.0619221,0.00111223,0.0875264,0.00631519,0.0579875,0.00176582
3,5.91764,7.40463,0.630072,5.92894,7.33994,0.634517,5.92903,7.3401,0.634518,5.954,7.32177,0.625598,5.92645,7.34379,0.635835,0.0656721,0.00444526,0.0655288,0.00444646,0.0904866,0.00447377,0.0614832,0.00576312
3.5,6.40778,7.76206,0.530299,6.43878,7.68252,0.519295,6.43888,7.6827,0.519304,6.46652,7.66385,0.503272,6.4364,7.68689,0.519615,0.0853605,0.0110036,0.0852346,0.0109948,0.114438,0.0270268,0.0804273,0.0106833
4,6.91119,8.05722,0.490642,7.00691,8.0102,0.510421,7.007,8.01038,0.510429,7.04095,7.98523,0.500034,7.00407,8.01401,0.509487,0.106641,0.0197791,0.106641,0.0197869,0.14839,0.00939236,0.102442,0.0188449
4.5,7.44437,8.34205,0.526182,7.52596,8.29232,0.50577,7.52605,8.29249,0.505774,7.56461,8.26381,0.495324,7.52377,8.29618,0.506249,0.0955464,0.0204121,0.0955318,0.020408,0.143454,0.0308575,0.0916953,0.0199327
