time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.42739,5.42739,0.750275,3.42626,5.45902,0.715392,3.42632,5.4591,0.715397,3.42278,5.46162,0.700787,3.42565,5.45921,0.715169,0.0316573,0.0348831,0.0317323,0.0348785,0.0345454,0.0494886,0.0318681,0.0351059
1,3.83349,5.80592,0.793168,3.9146,5.89558,0.775346,3.91465,5.89565,0.77535,3.91905,5.89256,0.767173,3.91325,5.89573,0.77507,0.120913,0.0178221,0.120995,0.0178183,0.12177,0.0259953,0.120117,0.0180981
1.5,4.34281,6.32322,0.845883,4.3559,6.33474,0.808134,4.35594,6.3348,0.808135,4.36591,6.32874,0.798431,4.35446,6.33489,0.807493,0.0174438,0.0377489,0.0175082,0.0377483,0.0237546,0.0474519,0.0164915,0.0383897
2,4.69064,6.7159,0.838374,4.83841,6.84593,0.818321,4.83843,6.846,0.818339,4.85549,6.83557,0.801342,4.83691,6.84386,0.812491,0.196836,0.0200531,0.196893,0.0200351,0.203709,0.0370324,0.194336,0.0258826
2.5,5.06172,7.12853,0.847663,5.22772,7.2675,0.843224,5.22772,7.26755,0.843224,5.25479,7.25089,0.825496,5.22794,7.26498,0.840986,0.216492,0.00443819,0.216529,0.00443824,0.22858,0.0221664,0.215054,0.00667626
3,5.45304,7.57188,0.738471,5.67285,7.69493,0.670712,5.67301,7.69517,0.670723,5.69972,7.68023,0.627059,5.67499,7.69376,0.711799,0.251909,0.0677585,0.252165,0.0677476,0.269434,0.111412,0.253212,0.0266718
3.5,5.86698,7.94869,0.676169,6.15351,8.07331,0.673987,6.15367,8.07354,0.673988,6.1966,8.04214,0.65093,6.14768,8.08207,0.686885,0.312459,0.00218214,0.312692,0.00218045,0.342616,0.0252383,0.31078,0.0107161
4,6.32642,8.31732,0.744235,6.60747,8.43313,0.691486,6.60764,8.43334,0.69148,6.66105,8.39306,0.673083,6.59713,8.448,0.70088,0.303979,0.0527486,0.304215,0.0527546,0.343097,0.0711522,0.300601,0.0433546
4.5,6.81952,8.77141,0.745958,7.05256,8.80523,0.725264,7.05275,8.80541,0.725253,7.11575,8.75772,0.708283,7.03823,8.82533,0.733096,0.235486,0.020694,0.235695,0.0207052,0.296553,0.0376754,0.22526,0.0128625
