time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.45973,5.45973,0.781346,3.46837,5.45889,0.828152,3.46835,5.45885,0.828158,3.46746,5.46053,0.822388,3.46749,5.45846,0.825788,0.00868175,0.0468065,0.00865907,0.0468123,0.0077732,0.0410423,0.00785871,0.0444425
1,3.84319,5.8401,0.693164,3.88218,5.90351,0.799669,3.88216,5.9035,0.799667,3.88483,5.90384,0.786284,3.88278,5.90269,0.802229,0.0744413,0.106504,0.0744215,0.106502,0.0761374,0.0931197,0.0740623,0.109064
1.5,4.41631,6.31617,0.653507,4.35362,6.34851,0.650463,4.35366,6.34855,0.650472,4.35829,6.34891,0.6341,4.35697,6.34533,0.654541,0.0705351,0.00304418,0.0705254,0.00303482,0.0666159,0.0194071,0.0661161,0.00103427
2,4.97844,6.74662,0.692726,4.85444,6.7354,0.668993,4.85447,6.73544,0.668997,4.8669,6.7295,0.659178,4.85605,6.73392,0.670064,0.124508,0.0237321,0.124476,0.0237288,0.112848,0.0335477,0.123053,0.0226613
2.5,5.41494,7.10889,0.705609,5.32769,7.12118,0.726165,5.32772,7.12122,0.726163,5.34694,7.1106,0.717767,5.32827,7.12131,0.727959,0.0881179,0.0205557,0.0880954,0.0205542,0.0680273,0.0121583,0.0875632,0.0223496
3,5.80578,7.44185,0.724465,5.79499,7.54362,0.755246,5.79501,7.54366,0.755246,5.8203,7.5294,0.743896,5.79473,7.54426,0.754906,0.102341,0.0307809,0.102375,0.0307806,0.088748,0.019431,0.103009,0.0304402
3.5,6.22741,7.815,0.738969,6.24803,7.97349,0.770801,6.24804,7.97352,0.770801,6.28063,7.95466,0.755296,6.2477,7.97402,0.769976,0.159827,0.0318312,0.159859,0.0318312,0.149457,0.0163264,0.160316,0.0310069
4,6.59806,8.15273,0.73038,6.6769,8.38262,0.75628,6.67693,8.38265,0.756276,6.71714,8.35909,0.735864,6.67706,8.38354,0.761002,0.24304,0.0258999,0.243079,0.0258953,0.238255,0.0054833,0.243959,0.0306213
4.5,7.09808,8.60054,0.763306,7.10822,8.79156,0.768745,7.10827,8.79157,0.768737,7.15916,8.76013,0.747844,7.10628,8.79504,0.773137,0.191282,0.00543913,0.191297,0.00543071,0.170879,0.0154619,0.19467,0.00983125
5,7.52275,9.00686,0.838614,7.59178,9.28441,0.837149,7.59178,9.28442,0.837155,7.65909,9.23949,0.815232,7.58532,9.28968,0.824787,0.286001,0.00146474,0.286009,0.00145883,0.269634,0.0233816,0.289656,0.0138267
5.5,7.862,9.38428,0.794125,7.99601,9.72434,0.818363,7.99608,9.72443,0.818364,8.07769,9.66915,0.758209,7.99311,9.72711,0.822031,0.365511,0.0242383,0.365617,0.0242392,0.35731,0.0359162,0.367045,0.0279057
6,8.31373,9.84397,0.710945,8.41884,10.1161,0.729838,8.41941,10.1167,0.729834,8.5076,10.0565,0.681346,8.40512,10.1329,0.784702,0.291734,0.0188931,0.29248,0.0188888,0.287633,0.0295989,0.303059,0.0737567
6.5,8.7958,10.2591,0.739318,8.86228,10.5332,0.762809,8.86285,10.5337,0.762795,8.97972,10.4466,0.722477,8.83297,10.5653,0.794085,0.282031,0.0234912,0.282707,0.0234774,0.262627,0.0168412,0.308416,0.0547673
7,9.20023,10.6279,0.700022,9.29744,10.9424,0.757129,9.298,10.9429,0.757112,9.43067,10.8423,0.721777,9.25707,10.9852,0.79026,0.329155,0.0571073,0.329794,0.0570902,0.314784,0.0217552,0.361802,0.0902387
7.5,9.74008,11.0826,0.660512,9.73857,11.3217,0.693957,9.73912,11.3221,0.693944,9.87683,11.2186,0.659897,9.69998,11.3658,0.749979,0.239074,0.0334456,0.239464,0.0334322,0.192881,0.000614619,0.286013,0.0894667
8,10.1643,11.4122,0.640145,10.1889,11.6951,0.702729,10.1895,11.6955,0.702708,10.3417,11.5784,0.673085,10.1373,11.7536,0.743504,0.284005,0.0625845,0.284391,0.0625634,0.2431,0.0329402,0.342445,0.10336
8.5,10.7279,11.8319,0.589186,10.6916,12.0729,0.5883,10.6921,12.0732,0.588299,10.8471,11.9546,0.559759,10.6929,12.0792,0.621126,0.243681,0.000886344,0.243871,0.000886732,0.171067,0.0294274,0.249762,0.0319402
9,11.2526,12.1827,0.616974,11.1753,12.3907,0.602476,11.1758,12.3909,0.602463,11.3417,12.2603,0.578382,11.1701,12.4065,0.621636,0.221955,0.0144974,0.221966,0.0145111,0.118084,0.038592,0.238575,0.0046623
9.5,11.7359,12.5255,0.623529,11.7118,12.7657,0.613096,11.7123,12.766,0.613084,11.8891,12.6234,0.590799,11.7022,12.786,0.617318,0.241458,0.0104327,0.241634,0.0104447,0.18182,0.0327303,0.262677,0.0062111
10,12.3305,12.9531,0.657732,12.1889,13.1122,0.669531,12.1895,13.1124,0.669511,12.3772,12.9588,0.648089,12.1735,13.1403,0.673944,0.212907,0.0117986,0.212683,0.0117791,0.0470537,0.00964327,0.244301,0.0162123
10.5,12.7491,13.2765,0.59324,12.7086,13.4761,0.515707,12.7091,13.4764,0.515705,12.9029,13.3175,0.477383,12.6974,13.4993,0.531355,0.203687,0.0775334,0.203789,0.0775351,0.159116,0.115857,0.228729,0.0618856
11,13.3656,13.6922,0.603342,13.2647,13.8246,0.610926,13.2653,13.8249,0.610914,13.4766,13.6418,0.584113,13.2437,13.8616,0.62034,0.166473,0.00758334,0.16635,0.00757212,0.121954,0.019229,0.208703,0.0169982
11.5,13.9309,14.0817,0.536807,13.7986,14.1909,0.582471,13.7991,14.1912,0.582465,14.0212,13.9963,0.555613,13.7749,14.2307,0.585932,0.171522,0.045664,0.171297,0.0456573,0.124282,0.0188051,0.21571,0.0491249
12,14.5168,14.4304,0.656803,14.3188,14.5381,0.60284,14.3193,14.5384,0.602831,14.5529,14.3304,0.577503,14.2932,14.5799,0.605471,0.225437,0.0539633,0.225115,0.0539724,0.10628,0.0792998,0.268958,0.0513318
12.5,14.9906,14.7957,0.758636,14.8379,14.9205,0.687269,14.8384,14.9208,0.687257,15.086,14.6971,0.663104,14.8089,14.9656,0.685928,0.197235,0.0713677,0.197027,0.0713796,0.137182,0.0955326,0.248733,0.0727079
13,15.4362,15.218,0.769016,15.3628,15.363,0.731588,15.3632,15.3632,0.731583,15.6259,15.1243,0.700522,15.3322,15.4076,0.719828,0.162464,0.0374277,0.162535,0.037433,0.211648,0.0684944,0.216257,0.0491875
13.5,15.8461,15.6147,0.802732,15.8368,15.7988,0.76449,15.8371,15.799,0.764486,16.118,15.543,0.727663,15.8102,15.8372,0.743809,0.184344,0.0382418,0.184547,0.0382457,0.281251,0.0750687,0.225422,0.0589226
14,16.2146,15.9962,0.91618,16.2417,16.193,0.767502,16.2421,16.1932,0.767486,16.5456,15.917,0.677858,16.2239,16.2223,0.751865,0.198699,0.148677,0.198949,0.148693,0.340424,0.238322,0.226264,0.164314
14.5,16.6278,16.5346,0.944833,16.7331,16.6519,0.762874,16.7341,16.6528,0.762877,17.0793,16.3331,0.636895,16.7208,16.6759,0.749034,0.157707,0.181959,0.158977,0.181955,0.494403,0.307938,0.169194,0.195799
15,16.934,16.9582,0.9081,17.1707,17.0594,0.757734,17.1725,17.061,0.757738,17.5656,16.6897,0.627942,17.1628,17.0804,0.74932,0.257412,0.150367,0.25965,0.150362,0.686288,0.280158,0.25941,0.15878
15.5,17.3707,17.5178,0.906389,17.6749,17.528,0.761733,17.6765,17.5298,0.761831,18.1255,17.099,0.644892,17.67,17.545,0.751656,0.304293,0.144656,0.305997,0.144558,0.863177,0.261497,0.300542,0.154732
16,17.6968,17.9341,0.825203,18.1191,17.9748,0.778285,18.1193,17.9751,0.778302,18.628,17.4849,0.683914,18.12,17.9811,0.763354,0.424245,0.0469175,0.42439,0.0469006,1.03388,0.141289,0.425712,0.0618494
16.5,18.1043,18.3754,0.85352,18.551,18.3994,0.781927,18.5496,18.398,0.781897,19.0995,17.8716,0.693832,18.5495,18.4032,0.771901,0.447346,0.0715934,0.445831,0.0716236,1.11545,0.159688,0.445976,0.0816193
17,18.4366,18.7564,0.743465,18.984,18.8181,0.782032,18.9802,18.8142,0.781994,19.5629,18.2623,0.714012,18.9735,18.8237,0.778535,0.550899,0.0385671,0.546701,0.0385291,1.22988,0.0294525,0.541062,0.03507
17.5,18.8199,19.1088,0.778131,19.43,19.2432,0.781194,19.4232,19.2362,0.781176,20.0296,18.67,0.729982,19.407,19.252,0.782855,0.624733,0.00306383,0.616573,0.00304556,1.28681,0.0481484,0.604352,0.00472473
18,19.29,19.5721,0.694517,19.8704,19.6669,0.782254,19.8611,19.6575,0.782238,20.5042,19.0633,0.603541,19.8386,19.677,0.785898,0.588121,0.0877372,0.577525,0.0877212,1.31651,0.0909757,0.558543,0.0913809
18.5,19.8404,20.0306,0.666428,20.3025,20.0919,0.785755,20.2926,20.0816,0.785741,21.0092,19.4125,0.614643,20.2671,20.1026,0.789688,0.466119,0.119327,0.454994,0.119313,1.32213,0.0517847,0.432748,0.12326
19,20.3534,20.434,0.704722,20.7711,20.5157,0.780696,20.7571,20.5014,0.780678,21.5241,19.7854,0.660891,20.7161,20.5343,0.78921,0.425547,0.0759738,0.40925,0.0759559,1.33837,0.043831,0.376212,0.0844882
19.5,20.8729,20.8758,0.724728,21.1958,20.918,0.780942,21.1782,20.9004,0.781017,21.9888,20.15,0.672736,21.1334,20.9329,0.788445,0.325583,0.056214,0.306282,0.0562891,1.33112,0.0519917,0.266623,0.0637172
20,21.2815,21.2375,0.72478,21.6782,21.3554,0.778558,21.656,21.3325,0.778483,22.5016,20.5572,0.680243,21.597,21.376,0.788248,0.413868,0.053778,0.38644,0.053703,1.397,0.044537,0.344557,0.0634681
20.5,21.8418,21.7337,0.715043,22.1341,21.7761,0.77822,22.1069,21.7485,0.778219,22.9878,20.9499,0.682301,22.0403,21.7959,0.787554,0.295376,0.0631776,0.265521,0.0631759,1.38849,0.0327414,0.208114,0.0725113
21,22.298,22.1299,0.665266,22.5356,22.1593,0.77989,22.5042,22.1292,0.780165,23.4258,21.3035,0.657862,22.4374,22.1732,0.787507,0.239354,0.114624,0.206106,0.114899,1.39814,0.00740427,0.145871,0.122241
21.5,22.8018,22.5252,0.612968,22.9276,22.5321,0.781152,22.8918,22.5,0.781722,23.8609,21.6396,0.646671,22.8245,22.5409,0.787682,0.125986,0.168184,0.0934943,0.168755,1.38058,0.0337031,0.0275909,0.174715
22,23.2575,22.8457,0.60132,23.3718,22.9912,0.789484,23.3392,22.9622,0.789995,24.4031,22.0096,0.479856,23.2719,23.0052,0.795703,0.185054,0.188164,0.142269,0.188675,1.41822,0.121463,0.160194,0.194383
22.5,23.7037,23.1518,0.695145,23.7991,23.3559,0.784098,23.7609,23.324,0.784889,24.9063,22.2763,0.547231,23.6839,23.3736,0.792017,0.225262,0.088953,0.181399,0.0897435,1.48751,0.147915,0.222614,0.0968718
23,24.1847,23.553,0.732123,24.2752,23.7359,0.775928,24.2313,23.696,0.776285,25.4234,22.6034,0.613736,24.1301,23.7674,0.787938,0.204038,0.0438046,0.150375,0.0441624,1.56077,0.118387,0.221245,0.0558147
23.5,24.5886,23.916,0.741667,24.7575,24.1473,0.772953,24.7068,24.098,0.77295,25.9396,22.9765,0.661043,24.5924,24.1811,0.785259,0.286439,0.0312864,0.217046,0.0312832,1.64552,0.0806235,0.265117,0.0435923
24,24.9795,24.2741,0.748052,25.1815,24.5342,0.773845,25.1209,24.4813,0.774483,26.3959,23.3359,0.672671,25.0042,24.5637,0.785067,0.329304,0.0257932,0.25088,0.026431,1.69894,0.0753805,0.290623,0.0370154
24.5,25.5251,24.7804,0.644629,25.6197,24.9491,0.777096,25.5572,24.8949,0.777721,26.9016,23.6916,0.473136,25.4341,24.9832,0.788462,0.193364,0.132467,0.11885,0.133091,1.75502,0.171493,0.222279,0.143832
25,25.972,25.1164,0.731101,26.1217,25.3478,0.771415,26.0541,25.2826,0.771362,27.4652,24.0018,0.570402,25.9058,25.3967,0.785735,0.275613,0.0403143,0.185431,0.0402613,1.86331,0.160699,0.288011,0.0546343
25.5,26.4464,25.5419,0.754423,26.542,25.7267,0.772171,26.4622,25.6598,0.773039,27.9466,24.3159,0.606608,26.3123,25.7723,0.785624,0.20807,0.0177475,0.119014,0.0186152,1.93746,0.147816,0.266639,0.0312007
26,26.8706,25.9406,0.704924,27.0216,26.1188,0.769056,26.9345,26.0404,0.769357,28.4548,24.6762,0.646379,26.7674,26.1702,0.783376,0.233548,0.0641313,0.118516,0.0644327,2.02688,0.0585452,0.251719,0.0784515
26.5,27.3001,26.306,0.603621,27.4155,26.4954,0.772269,27.3163,26.4195,0.773675,28.9061,25.0056,0.586561,27.1478,26.5466,0.786308,0.221759,0.168648,0.114697,0.170053,2.06647,0.01706,0.284788,0.182687
27,27.7647,26.6263,0.561399,27.9032,26.9873,0.780745,27.8216,26.9108,0.780832,29.5252,25.3782,0.406141,27.6449,27.0538,0.794751,0.386676,0.219346,0.290186,0.219433,2.15805,0.155259,0.443973,0.233351
27.5,28.3623,27.0021,0.621199,28.4859,27.3589,0.767108,28.4045,27.2661,0.765982,30.1386,25.6798,0.53616,28.1736,27.4696,0.788437,0.377533,0.145908,0.267319,0.144783,2.21443,0.0850394,0.504177,0.167237
28,28.853,27.3533,0.638001,28.9765,27.7557,0.765153,28.8829,27.6571,0.764784,30.6814,26.0131,0.585874,28.6523,27.8622,0.784529,0.420977,0.127151,0.305311,0.126783,2.26698,0.0521279,0.547046,0.146527
28.5,29.3381,27.713,0.623816,29.3898,28.1374,0.767444,29.2795,28.0417,0.768457,31.1622,26.3303,0.58247,29.0496,28.2425,0.786047,0.427543,0.143628,0.333916,0.144641,2.28891,0.0413469,0.603008,0.162231
29,29.7597,28.0164,0.585191,29.8057,28.5258,0.770275,29.6855,28.4322,0.771967,31.6573,26.6458,0.5388,29.4495,28.6366,0.789037,0.511439,0.185084,0.422398,0.186776,2.34087,0.0463908,0.693392,0.203846
29.5,30.2111,28.3155,0.536515,30.1769,28.9076,0.775236,30.0397,28.8254,0.778631,32.1367,26.9234,0.518046,29.8051,29.0217,0.794045,0.593073,0.238721,0.537892,0.242116,2.37609,0.0184685,0.814557,0.257531
30,30.7327,28.6257,0.521886,30.499,29.3195,0.786219,30.3409,29.261,0.792489,32.6182,27.1821,0.472993,30.1279,29.4266,0.803226,0.732097,0.264334,0.746403,0.270603,2.37465,0.0488925,1.00359,0.28134
30.5,31.376,28.9957,0.439875,30.6756,30.0515,0.837077,30.5064,30.0528,0.849205,33.2434,27.4805,0.329841,30.4364,30.0768,0.83765,1.267,0.397203,1.36887,0.40933,2.4048,0.110034,1.4324,0.397775
31,32.0289,29.3029,0.491614,30.9557,30.5503,0.855885,30.7648,30.5746,0.870494,33.7921,27.6674,0.387775,30.7697,30.5174,0.847188,1.6455,0.364271,1.79303,0.378881,2.40498,0.103839,1.74941,0.355575
31.5,32.6585,29.6401,0.500867,31.4865,30.9088,0.842726,31.3068,30.9253,0.854937,34.3905,27.9299,0.457883,31.2453,30.9369,0.844034,1.72723,0.341859,1.8652,0.354071,2.43405,0.0429835,1.91808,0.343167
32,33.1218,29.8937,0.543499,32.0045,31.2961,0.833908,31.8067,31.3373,0.848729,34.9795,28.2294,0.488112,31.7579,31.3344,0.837058,1.79307,0.290409,1.95282,0.30523,2.49416,0.0553864,1.98395,0.293559
32.5,33.7007,30.2434,0.458701,31.6909,32.5543,0.956566,31.3017,32.7828,1.00395,35.5952,28.533,0.363636,31.9578,32.0794,0.880495,3.06257,0.497865,3.49341,0.545251,2.55241,0.0950644,2.53146,0.421794
33,34.1721,30.4763,0.411633,31.5578,33.432,1.03476,31.2493,33.5554,1.06781,36.1149,28.715,0.364025,32.0761,32.68,0.914293,3.94603,0.623129,4.24546,0.656179,2.62228,0.0476078,3.04137,0.50266
33.5,34.685,30.7002,0.360802,31.4581,34.3597,1.11385,31.305,34.3073,1.12373,36.69,28.9298,0.357792,31.9673,33.5976,0.983805,4.87904,0.753049,4.9433,0.76293,2.67471,0.00300941,3.97261,0.623003
34,35.3124,30.9369,0.406279,31.7771,34.871,1.10579,31.6112,34.8342,1.11174,37.2734,29.1508,0.378298,32.0497,34.3419,1.02355,5.28922,0.699514,5.37469,0.705457,2.65254,0.0279812,4.71582,0.617266
34.5,35.9195,31.1981,0.382631,32.0562,35.4049,1.11868,31.8881,35.3702,1.12208,37.8429,29.3722,0.370267,32.064,35.1243,1.07426,5.71166,0.736054,5.80159,0.739445,2.65207,0.0123641,5.50271,0.691628
35,36.5208,31.4401,0.45975,32.3433,35.9346,1.10856,32.1681,35.9077,1.11129,38.4155,29.594,0.382578,32.3358,35.6727,1.0844,6.13615,0.648813,6.23746,0.651542,2.64538,0.0771723,5.95219,0.624651
35.5,37.1355,31.7444,0.485647,32.6187,36.5357,1.06986,32.4466,36.5081,1.07202,39.0171,29.8473,0.423006,32.7021,36.206,1.05445,6.58465,0.584214,6.68422,0.586372,2.67195,0.0626416,6.28971,0.568806
36,37.7571,32.0725,0.455404,32.9683,36.9263,1.05756,32.7747,36.9178,1.06024,39.5199,30.067,0.435262,33.0362,36.6039,1.04302,6.8185,0.602154,6.94987,0.604835,2.67013,0.0201427,6.54369,0.587613
36.5,38.4202,32.3973,0.457705,33.2763,37.4588,1.0691,33.0796,37.4544,1.072,40.0847,30.3247,0.417057,33.3459,37.1383,1.06112,7.21661,0.611395,7.35507,0.614299,2.65827,0.0406479,6.94446,0.603415
37,38.9827,32.6744,0.442101,33.5681,38.0052,1.12139,33.3688,38.0042,1.1246,40.6599,30.567,0.360527,33.636,37.689,1.11632,7.59841,0.679285,7.74101,0.682502,2.69334,0.0815735,7.33031,0.674216
37.5,39.453,32.897,0.501218,33.8417,38.5872,1.08226,33.6435,38.5868,1.08504,41.2557,30.8021,0.406136,33.9198,38.2683,1.07601,7.99159,0.581041,8.13168,0.583827,2.76371,0.0950817,7.71148,0.574792
38,39.9618,33.1757,0.493197,34.1395,39.1418,1.05507,33.9404,39.1434,1.05779,41.8338,31.0562,0.434155,34.2233,38.8221,1.04939,8.33629,0.561873,8.47762,0.564594,2.8279,0.0590426,8.05061,0.556194
38.5,40.4154,33.4195,0.442092,34.4165,39.7785,1.0884,34.2267,39.7742,1.09123,42.4498,31.3361,0.392423,34.5203,39.4513,1.08481,8.74196,0.646305,8.87021,0.649143,2.91197,0.0496695,8.4341,0.642722
39,40.946,33.6707,0.501074,34.7344,40.2282,1.09671,34.5299,40.2366,1.09983,42.9807,31.5477,0.388556,34.8198,39.9127,1.09043,9.0324,0.595633,9.18026,0.598756,2.94059,0.112518,8.74599,0.589351
39.5,41.5549,34.0042,0.515015,35.0331,40.7687,1.037,34.8257,40.7807,1.03984,43.5523,31.7932,0.453527,35.1218,40.4536,1.03022,9.39638,0.52199,9.55005,0.524821,2.97964,0.061488,9.10935,0.51521
40,42.0969,34.311,0.547893,35.3576,41.2967,1.01317,35.1477,41.3119,1.01606,44.1118,32.0692,0.474832,35.4489,40.9818,1.00828,9.7067,0.465274,9.86435,0.468165,3.01414,0.0730612,9.41788,0.460388
40.5,42.6498,34.6483,0.470796,35.7132,41.7124,1.03339,35.4877,41.7409,1.03684,44.6139,32.3193,0.448204,35.7846,41.4095,1.02413,9.90039,0.56259,10.0797,0.566048,3.04667,0.0225921,9.63557,0.553336
41,43.1898,34.9232,0.568573,36.0507,42.1972,0.992253,35.8178,42.2325,0.995656,45.1511,32.5843,0.493133,36.1201,41.896,0.985398,10.1921,0.42368,10.3813,0.427083,3.05238,0.0754406,9.9298,0.416824
41.5,43.6902,35.2429,0.505489,36.4241,42.5504,1.01036,36.1699,42.6032,1.01439,45.6148,32.8276,0.469101,36.4648,42.2648,0.996802,10.3051,0.50487,10.5227,0.508902,3.08833,0.0363876,10.0754,0.491313
42,44.2622,35.5595,0.553668,36.7671,43.0195,0.997578,36.5045,43.0797,1.00172,46.1406,33.0947,0.481557,36.8048,42.7355,0.987444,10.5749,0.44391,10.8044,0.448048,3.09895,0.0721107,10.3493,0.433776
42.5,44.8376,35.9152,0.533152,37.1091,43.5789,0.948925,36.8486,43.6387,0.952794,46.7159,33.4049,0.531942,37.1629,43.2873,0.948711,10.884,0.415773,11.112,0.419642,3.1352,0.00121008,10.6418,0.415559
43,45.4183,36.2579,0.446005,37.4606,44.0426,1.03365,37.1919,44.1098,1.03831,47.2359,33.6836,0.404545,37.5039,43.7584,1.00565,11.1322,0.587647,11.3722,0.592302,3.15129,0.0414603,10.904,0.55964
43.5,46.0071,36.5394,0.477394,37.7962,44.4788,1.02489,37.515,44.5562,1.02956,47.7536,33.9045,0.433257,37.8358,44.1956,1.00345,11.4216,0.547499,11.6784,0.552169,3.16117,0.0441374,11.1977,0.526053
44,46.5226,36.8061,0.442396,38.1151,45.0444,1.0371,37.8346,45.1223,1.04166,48.3422,34.1771,0.433222,38.1658,44.757,1.02776,11.771,0.594704,12.0267,0.599261,3.19725,0.009174,11.5349,0.585361
44.5,47.0806,37.0704,0.415461,38.4109,45.7201,1.06782,38.1415,45.7912,1.07216,48.9952,34.4768,0.402585,38.4826,45.4258,1.06629,12.2466,0.652357,12.4884,0.656697,3.22376,0.0128761,11.9891,0.650833
45,47.6226,37.3095,0.494826,38.7377,46.1594,1.03754,38.4557,46.2407,1.04194,49.5115,34.6984,0.439931,38.8,45.8701,1.03197,12.5404,0.542715,12.7983,0.547111,3.22274,0.0548948,12.2931,0.537143
45.5,48.0989,37.5665,0.443983,39.0486,46.6556,1.10195,38.7595,46.7429,1.10676,50.0563,34.9377,0.3666,39.1017,46.3726,1.09326,12.8265,0.657964,13.0931,0.662779,3.27752,0.0773832,12.5896,0.649281
46,48.7537,37.878,0.468308,39.3477,47.1182,1.06668,39.0472,47.2142,1.07144,50.5838,35.1408,0.409866,39.3941,46.839,1.05707,13.1854,0.598367,13.4678,0.603129,3.29262,0.0584423,12.9577,0.588767
46.5,49.4222,38.2161,0.480584,39.6314,47.8303,1.10556,39.3437,47.9183,1.11018,51.2661,35.4348,0.361339,39.7063,47.5405,1.10727,13.7219,0.624975,13.9896,0.629595,3.337,0.119244,13.4664,0.626682
47,50.0167,38.5261,0.51744,39.9175,48.5519,1.01845,39.6454,48.6297,1.02228,51.9563,35.7299,0.460319,40.0279,48.2469,1.01857,14.2306,0.501009,14.4792,0.504842,3.40307,0.0571201,13.9381,0.501134
47.5,50.5051,38.804,0.493489,40.1704,49.305,1.14504,39.9155,49.3706,1.14946,52.6448,36.0354,0.303039,40.311,48.9879,1.13461,14.7335,0.651547,14.9597,0.655975,3.49917,0.190451,14.4094,0.641119
48,50.9888,39.0643,0.502153,40.4421,49.9446,1.05983,40.1951,50.0051,1.06335,53.2882,36.2689,0.413957,40.6106,49.6145,1.0522,15.153,0.557673,15.369,0.561192,3.61956,0.0881961,14.7992,0.550048
48.5,51.5477,39.3711,0.529212,40.7573,50.5025,1.01493,40.5109,50.5633,1.01829,53.872,36.5363,0.465806,40.9348,50.1684,1.01131,15.5029,0.485721,15.7186,0.489077,3.66584,0.0634061,15.1398,0.482102
49,51.9957,39.6332,0.532872,41.0889,51.0529,0.985946,40.8436,51.1138,0.989251,54.4448,36.8291,0.494052,41.2736,50.7157,0.986393,15.7914,0.453074,16.0055,0.456379,3.723,0.0388199,15.4203,0.453521
49.5,52.6181,40.0002,0.5317,41.4432,51.5328,0.988545,41.1916,51.5993,0.992054,54.9766,37.113,0.483157,41.6223,51.1996,0.984829,16.0585,0.456845,16.282,0.460355,3.72807,0.0485431,15.695,0.45313
50,53.1243,40.298,0.61873,41.8136,51.9705,0.955571,41.5518,52.0456,0.959154,55.4864,37.3886,0.520749,41.9844,51.6419,0.956748,16.2536,0.336841,16.4903,0.340424,3.74749,0.0979807,15.8991,0.338019
50.5,53.7312,40.7301,0.611457,42.1664,52.562,0.917639,41.9123,52.6322,0.920994,56.079,37.731,0.557711,42.3522,52.2255,0.936757,16.545,0.306182,16.7734,0.309537,3.80877,0.053746,16.1749,0.3253
51,54.1751,41.0413,0.60032,42.5395,53.1011,0.910317,42.2888,53.1697,0.913651,56.6406,38.0716,0.536449,42.7254,52.7666,0.931503,16.7579,0.309998,16.9818,0.313331,3.85977,0.0638705,16.3883,0.331184
51.5,54.6255,41.3496,0.645471,42.946,53.5107,0.901782,42.6847,53.5878,0.905355,57.1347,38.3731,0.556839,43.1108,53.1896,0.922802,16.8613,0.256311,17.0984,0.259884,3.89309,0.0886323,16.5159,0.277331
52,55.1962,41.7795,0.625694,43.338,53.9928,0.899036,43.0741,54.0719,0.902665,57.6677,38.7004,0.541293,43.4934,53.6787,0.919965,17.0231,0.273342,17.2641,0.276971,3.94828,0.0844006,16.6897,0.294271
52.5,55.7498,42.1794,0.637535,43.7295,54.4946,0.895615,43.4649,54.5732,0.899252,58.2156,39.0312,0.559316,43.8792,54.1845,0.916709,17.209,0.258079,17.4506,0.261717,3.99897,0.0782196,16.8829,0.279174
53,56.1765,42.4955,0.739478,44.1199,54.987,0.897464,43.8537,55.0662,0.901096,58.7605,39.354,0.486836,44.2627,54.6821,0.917355,17.3609,0.157986,17.6032,0.161619,4.06771,0.252642,17.0426,0.177877
53.5,56.6026,42.8842,0.749907,44.5176,55.394,0.903953,44.2417,55.4828,0.907749,59.2718,39.6181,0.453924,44.6396,55.1049,0.922112,17.3938,0.154045,17.6499,0.157842,4.21797,0.295983,17.1015,0.172205
54,57.1324,43.3776,0.788655,44.8949,55.9178,0.909011,44.621,56.0059,0.9127,59.8579,39.9037,0.456736,45.0124,55.6348,0.928355,17.5218,0.120356,17.7767,0.124045,4.41544,0.331918,17.2376,0.139701
54.5,57.6166,43.865,0.824068,45.2787,56.3694,0.915006,44.9991,56.4631,0.918773,60.3992,40.1665,0.446172,45.3836,56.0964,0.932649,17.5666,0.0909388,17.8301,0.0947051,4.62837,0.377895,17.2989,0.108581
55,58.0472,44.3302,0.837107,45.6397,56.8769,0.926968,45.3599,56.9731,0.930661,60.9716,40.4347,0.423789,45.7431,56.6079,0.941429,17.6455,0.0898608,17.9112,0.0935545,4.87108,0.413318,17.3819,0.104322
55.5,58.4458,44.7723,0.810485,46.0496,57.3479,0.914378,45.7674,57.4444,0.91805,61.5441,40.6998,0.461159,46.1249,57.0998,0.939544,17.6582,0.103893,17.9254,0.107566,5.1171,0.349325,17.429,0.12906
