time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.38678,5.38678,0.729963,3.43486,5.45192,0.752191,3.43489,5.45196,0.752194,3.4324,5.45417,0.741034,3.43447,5.452,0.751903,0.0809671,0.0222281,0.081016,0.0222311,0.08138,0.011071,0.0808017,0.0219401
1,3.94492,5.88623,0.758533,3.85433,5.8348,0.771394,3.85435,5.83483,0.771384,3.85785,5.83345,0.761468,3.85464,5.83623,0.774624,0.104169,0.0128608,0.104129,0.012851,0.10181,0.0029352,0.103191,0.0160912
1.5,4.48002,6.39333,0.785026,4.30772,6.28691,0.814063,4.30774,6.28693,0.814061,4.31783,6.28161,0.804065,4.30616,6.28925,0.813789,0.202519,0.0290378,0.202491,0.029035,0.196948,0.0190392,0.202635,0.0287634
2,4.93748,6.85044,0.819852,4.71981,6.72877,0.840202,4.71983,6.72877,0.840195,4.7368,6.71977,0.827171,4.71808,6.73152,0.83994,0.24936,0.0203493,0.249347,0.0203424,0.23947,0.00731836,0.249549,0.0200876
2.5,5.40871,7.35532,0.870269,5.16026,7.23996,0.896401,5.16023,7.23992,0.896409,5.18834,7.22376,0.879334,5.15797,7.24091,0.884066,0.273927,0.0261315,0.273971,0.0261395,0.256651,0.00906426,0.275612,0.0137967
3,5.78123,7.79712,0.798281,5.57631,7.71218,0.799257,5.57656,7.71253,0.799281,5.61707,7.68754,0.696719,5.57516,7.71464,0.833008,0.22182,0.000976014,0.221458,0.00100047,0.197368,0.101562,0.221961,0.0347273
3.5,6.19479,8.22147,0.834837,5.96472,8.12673,0.834539,5.96494,8.12703,0.834525,6.05372,8.05713,0.755766,5.94953,8.14218,0.858645,0.248807,0.000298382,0.248492,0.000312372,0.21658,0.0790706,0.257754,0.0238077
4,6.61343,8.6837,0.88183,6.41641,8.6487,0.88087,6.41659,8.64903,0.880888,6.54815,8.54393,0.828719,6.39097,8.6695,0.880543,0.200112,0.000960108,0.199872,0.000941638,0.154271,0.0531105,0.222915,0.00128664
4.5,6.94218,9.08285,0.836789,6.79628,9.10873,0.882455,6.79648,9.10905,0.882457,6.95376,8.98541,0.826915,6.76814,9.1312,0.889029,0.148172,0.0456663,0.148032,0.0456685,0.0981288,0.00987315,0.180628,0.0522404
5,7.40736,9.59849,0.783151,7.19231,9.59765,0.897341,7.19242,9.59788,0.897348,7.38136,9.45119,0.837171,7.15942,9.62191,0.900064,0.215054,0.11419,0.214939,0.114198,0.149579,0.0540202,0.249048,0.116914
5.5,7.78752,9.97694,0.746443,7.57996,10.0102,0.827309,7.58147,10.0121,0.827329,7.78665,9.85198,0.651452,7.535,10.0522,0.880309,0.210214,0.0808659,0.209033,0.0808863,0.124965,0.0949904,0.263506,0.133867
6,8.25374,10.4082,0.718691,8.0778,10.3953,0.706381,8.07997,10.3979,0.706462,8.28171,10.2297,0.659272,7.99621,10.4816,0.824851,0.176411,0.0123104,0.174078,0.0122292,0.180663,0.0594189,0.267797,0.10616
6.5,8.66372,10.7668,0.613223,8.65834,10.8253,0.636775,8.65983,10.8274,0.636831,8.8484,10.6698,0.611676,8.6818,10.8409,0.658112,0.0587313,0.0235529,0.0607004,0.0236083,0.208619,0.00154697,0.0762913,0.0448898
7,9.22459,11.1615,0.555986,9.16101,11.1937,0.63689,9.16241,11.1957,0.636912,9.36131,11.0283,0.610546,9.19064,11.2019,0.646935,0.0712465,0.0809038,0.0709482,0.0809257,0.190894,0.05456,0.0527424,0.090949
7.5,9.6572,11.4303,0.50191,9.68424,11.5524,0.565311,9.68543,11.5542,0.565354,9.88922,11.382,0.536944,9.75382,11.5144,0.558835,0.124988,0.0634011,0.127084,0.0634437,0.236997,0.0350337,0.128066,0.0569245
8,10.2013,11.7289,0.453568,10.2454,11.8802,0.455366,10.2464,11.8821,0.455425,10.4565,11.7018,0.428642,10.3374,11.8119,0.443672,0.157573,0.00179836,0.15964,0.00185692,0.256641,0.0249262,0.159365,0.00989608
