time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.44925,5.44925,0.854537,3.47441,5.47361,0.815619,3.47439,5.47358,0.815629,3.47284,5.47544,0.8077,3.4729,5.47304,0.812174,0.0350201,0.0389181,0.0349892,0.0389085,0.0352469,0.0468373,0.0335505,0.0423631
1,3.81388,5.86814,0.870286,3.89685,5.92621,0.858501,3.89682,5.92616,0.858504,3.90036,5.92547,0.84942,3.89662,5.9246,0.855398,0.101273,0.0117856,0.10122,0.0117823,0.103756,0.0208668,0.100168,0.0148885
1.5,4.24086,6.37454,0.80158,4.31616,6.41047,0.855996,4.31613,6.41044,0.856003,4.32584,6.40655,0.837723,4.31715,6.40752,0.854557,0.0834335,0.0544156,0.083391,0.0544227,0.0908133,0.0361431,0.0831172,0.0529768
2,4.65915,6.80659,0.767621,4.72575,6.85238,0.787218,4.72578,6.85242,0.787214,4.74094,6.84601,0.763555,4.72824,6.84976,0.801418,0.0808268,0.0195972,0.0808697,0.0195933,0.0907958,0.00406605,0.0814682,0.033797
2.5,5.11636,7.24783,0.746079,5.16433,7.27077,0.744316,5.16437,7.27079,0.744311,5.18619,7.26027,0.7274,5.16665,7.26923,0.752476,0.0531749,0.00176249,0.0532158,0.00176816,0.0709261,0.0186786,0.0546505,0.00639698
3,5.60506,7.69953,0.71843,5.63212,7.69392,0.725693,5.63215,7.69393,0.725692,5.66081,7.67894,0.710812,5.63445,7.6921,0.727704,0.0276419,0.00726281,0.0276669,0.00726134,0.0594329,0.00761789,0.0303223,0.00927348
3.5,6.04482,8.08401,0.703244,6.11371,8.10559,0.679808,6.11373,8.1056,0.679809,6.14755,8.08754,0.66443,6.11854,8.10082,0.68008,0.0721896,0.0234356,0.0722071,0.0234352,0.102796,0.0388138,0.0756117,0.0231642
4,6.48534,8.45751,0.730645,6.58801,8.49716,0.7167,6.58803,8.49716,0.716698,6.63063,8.47223,0.703324,6.59154,8.49409,0.717265,0.110058,0.0139443,0.110081,0.0139468,0.146031,0.0273211,0.112316,0.0133798
4.5,6.89033,8.82041,0.769026,7.06544,8.92796,0.763975,7.06546,8.92796,0.763974,7.11703,8.89632,0.749806,7.06775,8.92553,0.761675,0.205496,0.00505119,0.205509,0.00505157,0.239065,0.0192201,0.206222,0.00735092
