time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.51839,5.51839,0.815779,3.43919,5.42831,0.809748,3.43917,5.42829,0.809745,3.43864,5.42994,0.804982,3.4397,5.4284,0.81048,0.119944,0.00603102,0.119969,0.00603377,0.119098,0.0107976,0.119538,0.00529942
1,3.87229,5.89447,0.813158,3.86432,5.87501,0.827626,3.8643,5.87498,0.827623,3.86718,5.8754,0.818613,3.86446,5.87556,0.828033,0.0210361,0.0144682,0.0210676,0.0144651,0.0197481,0.00545522,0.0204703,0.0148755
1.5,4.34126,6.39023,0.742297,4.27639,6.30598,0.779539,4.2764,6.30598,0.779533,4.28355,6.30475,0.763163,4.2772,6.30725,0.786245,0.106331,0.0372421,0.106324,0.0372354,0.103136,0.020866,0.104832,0.043948
2,4.7128,6.73105,0.818281,4.69893,6.72921,0.811591,4.69894,6.7292,0.81158,4.71574,6.72144,0.797026,4.69619,6.73423,0.816471,0.0139897,0.00668944,0.013977,0.00670034,0.0100499,0.0212548,0.0169129,0.00180944
2.5,5.22015,7.27292,0.820856,5.1689,7.23159,0.825418,5.1689,7.23159,0.825429,5.19497,7.21774,0.807355,5.164,7.23647,0.822199,0.0658341,0.00456169,0.0658345,0.00457231,0.060649,0.0135013,0.0669413,0.00134227
3,5.58172,7.66107,0.794417,5.59829,7.67574,0.777226,5.59831,7.67577,0.777227,5.63147,7.65793,0.752792,5.59547,7.67926,0.786055,0.0221274,0.0171918,0.0221721,0.0171907,0.0498491,0.041625,0.0228058,0.00836191
3.5,6.10087,8.18968,0.783491,6.02102,8.09127,0.787703,6.02106,8.09129,0.787696,6.06622,8.0646,0.766357,6.01471,8.09866,0.794904,0.126729,0.00421196,0.126689,0.00420494,0.129792,0.0171341,0.125331,0.0114136
4,6.58009,8.66707,0.803925,6.47513,8.56511,0.833412,6.47516,8.56514,0.833413,6.53471,8.52758,0.812245,6.46344,8.57611,0.83145,0.146331,0.0294867,0.146295,0.0294883,0.146689,0.0083204,0.147921,0.0275254
4.5,7.0026,9.10554,0.816769,6.92679,9.06446,0.844893,6.92679,9.06451,0.844906,7.00005,9.01721,0.81398,6.91489,9.07414,0.840423,0.0862227,0.0281243,0.0862077,0.0281375,0.0883638,0.00278853,0.0931624,0.0236547
5,7.42184,9.55194,0.770732,7.37429,9.53116,0.779657,7.37441,9.53139,0.779678,7.45771,9.47727,0.730104,7.3623,9.54151,0.804885,0.0518857,0.00892463,0.0516884,0.00894535,0.0828344,0.0406288,0.0604431,0.0341524
5.5,7.85372,9.97133,0.798586,7.75928,9.91306,0.793796,7.75943,9.91323,0.793781,7.86521,9.83981,0.75183,7.73611,9.93514,0.818678,0.11097,0.00479046,0.110749,0.00480501,0.132018,0.0467565,0.123045,0.020092
6,8.36181,10.493,0.791788,8.2148,10.4011,0.842972,8.21494,10.4013,0.842976,8.34785,10.3049,0.80647,8.17845,10.4325,0.846266,0.173405,0.0511847,0.173171,0.0511881,0.188626,0.0146824,0.193077,0.0544783
6.5,8.84922,10.9867,0.780273,8.61579,10.8408,0.826767,8.61598,10.8411,0.826763,8.7658,10.7323,0.775696,8.57586,10.8755,0.845989,0.275247,0.0464944,0.274961,0.0464902,0.267735,0.00457687,0.295093,0.0657164
