time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.46595,5.46595,0.756333,3.43055,5.4206,0.801679,3.43054,5.42059,0.801674,3.43001,5.42225,0.796896,3.43142,5.42084,0.803257,0.0575323,0.0453467,0.0575468,0.0453417,0.0565822,0.0405631,0.0568072,0.0469242
1,3.85421,5.83227,0.723407,3.8914,5.8832,0.646234,3.89144,5.88326,0.646248,3.89278,5.88452,0.624988,3.89285,5.88258,0.648427,0.0630578,0.0771728,0.0631364,0.0771586,0.064951,0.0984189,0.0634334,0.0749799
1.5,4.36778,6.28581,0.739772,4.37286,6.25375,0.703823,4.37291,6.25382,0.703826,4.38476,6.24567,0.690839,4.37252,6.25601,0.707733,0.0324639,0.0359494,0.0323969,0.0359466,0.0435891,0.0489332,0.030174,0.0320389
2,4.89953,6.77113,0.69772,4.81585,6.62259,0.710382,4.81589,6.62266,0.710377,4.83417,6.61035,0.69853,4.81452,6.62734,0.714754,0.170488,0.0126615,0.170409,0.0126564,0.173553,0.000809595,0.167033,0.0170339
2.5,5.30513,7.11118,0.707919,5.27144,7.00582,0.696853,5.2715,7.00588,0.696848,5.29552,6.99017,0.683879,5.26901,7.01254,0.700384,0.110616,0.0110662,0.110544,0.0110715,0.121392,0.0240397,0.105044,0.00753536
3,5.70484,7.4533,0.689733,5.75358,7.40782,0.695303,5.75364,7.40788,0.695301,5.78435,7.38761,0.681772,5.74994,7.41555,0.696768,0.0666615,0.00557003,0.0666641,0.00556848,0.103131,0.00796007,0.0588151,0.00703501
3.5,6.09318,7.77363,0.681415,6.24321,7.79231,0.619612,6.24327,7.79237,0.619613,6.27852,7.76963,0.602751,6.24033,7.79929,0.622038,0.151189,0.0618031,0.151261,0.0618019,0.185379,0.078664,0.149372,0.0593768
4,6.58631,8.17357,0.721111,6.80806,8.23316,0.709358,6.8081,8.23326,0.709365,6.85468,8.19961,0.69787,6.80139,8.24207,0.708698,0.229608,0.011753,0.229677,0.011746,0.26963,0.0232407,0.225723,0.0124121
4.5,7.09922,8.62443,0.670724,7.26718,8.62319,0.703658,7.26722,8.62329,0.70366,7.32033,8.58551,0.686364,7.26079,8.63232,0.705837,0.167956,0.0329342,0.168004,0.0329362,0.224508,0.0156401,0.161758,0.0351131
5,7.63175,9.04696,0.689938,7.7612,9.0352,0.684445,7.76125,9.03531,0.684451,7.82252,8.99123,0.664131,7.75424,9.04444,0.686625,0.129984,0.00549283,0.130021,0.00548741,0.198744,0.0258073,0.122523,0.0033135
5.5,8.07746,9.41477,0.651091,8.27265,9.43904,0.645152,8.27269,9.43916,0.64516,8.34176,9.38871,0.624717,8.26611,9.44704,0.647697,0.196694,0.00593824,0.19675,0.00593067,0.265584,0.0263734,0.191394,0.00339386
6,8.64663,9.84844,0.61217,8.75922,9.80087,0.641141,8.75926,9.80099,0.641145,8.83699,9.74286,0.622261,8.75227,9.80967,0.643955,0.12222,0.0289716,0.122213,0.0289749,0.217676,0.0100917,0.112528,0.0317853
6.5,9.22,10.251,0.599412,9.254,10.1671,0.638448,9.25404,10.1672,0.638451,9.34021,10.1016,0.619454,9.24643,10.1768,0.640797,0.0905216,0.0390353,0.0904344,0.0390381,0.191756,0.020042,0.0787957,0.0413845
7,9.80074,10.6478,0.686578,9.75722,10.5466,0.661928,9.75726,10.5467,0.661931,9.85317,10.4719,0.642869,9.7482,10.5577,0.662701,0.110221,0.0246502,0.110106,0.024647,0.183536,0.0437084,0.104322,0.023877
7.5,10.2407,11.0084,0.676465,10.2485,10.9319,0.675193,10.2485,10.932,0.675196,10.3541,10.8486,0.653803,10.2388,10.9436,0.675743,0.076906,0.00127232,0.0768008,0.00126912,0.196014,0.0226621,0.0648173,0.000721788
