time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.37761,5.37761,0.767368,3.43064,5.42192,0.799347,3.43063,5.42192,0.799342,3.43001,5.4236,0.794275,3.43146,5.42216,0.80085,0.0691074,0.0319789,0.069096,0.0319743,0.0697235,0.0269072,0.06989,0.0334824
1,3.89268,5.87443,0.844503,3.87481,5.88371,0.828104,3.8748,5.88369,0.828106,3.87781,5.88384,0.819219,3.87452,5.88415,0.826835,0.0201358,0.0163984,0.0201392,0.0163967,0.0175951,0.0252837,0.0205944,0.0176676
1.5,4.31044,6.34474,0.797305,4.31004,6.34735,0.79218,4.31005,6.34736,0.792185,4.31791,6.34522,0.775146,4.31066,6.34703,0.794487,0.00263975,0.00512528,0.00264684,0.0051208,0.00749071,0.0221589,0.00229911,0.00281834
2,4.76967,6.81504,0.758816,4.74498,6.78212,0.782097,4.74498,6.78213,0.782096,4.76078,6.775,0.76672,4.74524,6.78236,0.784562,0.0411513,0.0232808,0.0411391,0.0232804,0.0410127,0.00790445,0.0407991,0.0257457
2.5,5.18919,7.21283,0.753736,5.17886,7.19716,0.747612,5.17887,7.19717,0.747607,5.20067,7.18672,0.73129,5.17982,7.19747,0.752264,0.0187678,0.0061241,0.018752,0.00612865,0.0285181,0.0224461,0.0179869,0.00147211
3,5.65919,7.65397,0.693589,5.65937,7.61435,0.664412,5.65939,7.61436,0.664415,5.68483,7.6023,0.648516,5.66321,7.61157,0.666279,0.0396232,0.0291767,0.0396159,0.0291741,0.0576844,0.0450728,0.0425875,0.0273097
3.5,6.11038,8.02908,0.692373,6.1183,7.96628,0.67261,6.11833,7.96627,0.672604,6.15102,7.94872,0.659214,6.12182,7.96505,0.675332,0.0633031,0.0197628,0.0633163,0.0197688,0.090053,0.0331588,0.0650477,0.0170411
4,6.61578,8.44823,0.793628,6.57153,8.33796,0.735264,6.57157,8.33793,0.735253,6.61273,8.31396,0.723489,6.57319,8.33981,0.73858,0.118821,0.0583641,0.11883,0.0583747,0.134304,0.0701389,0.116484,0.0550481
4.5,7.01861,8.85775,0.767925,7.00992,8.7406,0.766652,7.00997,8.74055,0.766639,7.05857,8.71181,0.75244,7.01029,8.74415,0.768371,0.11747,0.00127353,0.11752,0.00128603,0.151311,0.015485,0.113902,0.000445923
5,7.42792,9.253,0.756902,7.43538,9.15444,0.784758,7.43544,9.15436,0.784743,7.49268,9.11999,0.765866,7.43493,9.15913,0.786227,0.0988411,0.0278565,0.0989255,0.0278417,0.147938,0.00896407,0.0941269,0.0293253
5.5,7.91093,9.70923,0.748078,7.85725,9.56939,0.772175,7.85734,9.56931,0.772158,7.92388,9.52876,0.745092,7.85605,9.57547,0.780619,0.14979,0.024097,0.149835,0.0240803,0.180939,0.00298538,0.144578,0.0325419
6,8.41058,10.1729,0.732329,8.31582,9.98851,0.715818,8.31596,9.98847,0.715809,8.38975,9.9431,0.686584,8.3138,9.99621,0.736924,0.207329,0.0165103,0.207304,0.0165197,0.230757,0.0457451,0.201472,0.00459492
6.5,8.88855,10.6027,0.778387,8.74792,10.3776,0.756168,8.7481,10.3776,0.756149,8.8387,10.3171,0.729508,8.73445,10.3975,0.770457,0.265367,0.0222191,0.26533,0.0222379,0.289854,0.0488793,0.256612,0.00793004
7,9.34136,11.0492,0.795915,9.19646,10.8012,0.762375,9.19664,10.8011,0.762358,9.30045,10.7299,0.734396,9.1776,10.8259,0.773442,0.287246,0.0335397,0.287222,0.0335565,0.321898,0.0615191,0.27686,0.0224728
7.5,9.81586,11.5338,0.836088,9.6492,11.2499,0.804943,9.64936,11.2498,0.804929,9.77093,11.1635,0.775728,9.62205,11.2812,0.803426,0.329203,0.0311454,0.32921,0.0311594,0.373023,0.0603604,0.318381,0.0326619
8,10.2188,11.9798,0.792422,10.1843,11.8009,0.818741,10.1844,11.8009,0.818767,10.327,11.6963,0.768324,10.1554,11.8301,0.809008,0.182137,0.0263194,0.18216,0.0263449,0.303373,0.0240975,0.162595,0.0165857
8.5,10.6954,12.4631,0.797368,10.5965,12.2456,0.827348,10.5965,12.2455,0.827359,10.7649,12.1197,0.770305,10.5689,12.2723,0.820464,0.238883,0.0299798,0.238934,0.0299909,0.350393,0.0270628,0.22889,0.0230956
9,11.0463,12.8225,0.808423,11.0779,12.7539,0.824196,11.078,12.7541,0.824278,11.2774,12.6014,0.733731,11.0504,12.779,0.821511,0.0755139,0.0157734,0.0753775,0.0158559,0.319874,0.0746918,0.0437588,0.0130886
9.5,11.4009,13.1938,0.864839,11.4765,13.2113,0.848841,11.4761,13.2109,0.848839,11.7254,13.0147,0.774247,11.4511,13.2307,0.837117,0.0776762,0.0159985,0.077127,0.0160003,0.37069,0.0905919,0.0623533,0.0277222
10,11.7262,13.5755,0.901476,11.8832,13.6754,0.854734,11.8821,13.6742,0.85472,12.169,13.4486,0.778419,11.8572,13.6913,0.846177,0.186046,0.0467419,0.184506,0.0467556,0.460536,0.123057,0.17485,0.0552988
10.5,12.1823,14.1519,1.01752,12.2894,14.1523,0.865189,12.2903,14.1534,0.865164,12.6446,13.8683,0.595255,12.2801,14.1595,0.848464,0.107122,0.152328,0.108004,0.152353,0.542337,0.422262,0.0980444,0.169053
11,12.5243,14.7057,1.05902,12.7041,14.7091,0.903202,12.7095,14.7153,0.903036,13.2193,14.2747,0.628435,12.7567,14.6787,0.849941,0.17981,0.155814,0.185408,0.155981,0.817734,0.430581,0.233947,0.209076
11.5,12.7996,15.1958,1.10014,12.9761,15.2209,0.961218,12.9839,15.2297,0.960957,13.6893,14.6079,0.617013,13.1374,15.1063,0.853687,0.178311,0.138919,0.187404,0.13918,1.06639,0.483124,0.349423,0.246449
12,13.0784,15.7437,1.09116,13.2504,15.7888,1.01572,13.2585,15.798,1.01544,14.1977,14.9666,0.614547,13.5435,15.5722,0.860136,0.177841,0.0754374,0.188088,0.0757184,1.36261,0.476612,0.495737,0.231023
12.5,13.3362,16.2393,1.13288,13.4274,16.4092,1.11232,13.4335,16.4168,1.11222,14.6992,15.3053,0.559658,13.9218,16.0441,0.875374,0.192838,0.0205604,0.202354,0.0206642,1.65229,0.573226,0.617332,0.257509
13,13.6404,16.889,1.11866,13.7135,16.9175,1.08386,13.72,16.9257,1.08384,15.1999,15.6204,0.593737,14.2844,16.4997,0.884875,0.0784602,0.0347922,0.0875902,0.0348144,2.01029,0.52492,0.752563,0.233782
13.5,13.923,17.4709,1.03242,14.0892,17.5018,1.019,14.0963,17.5101,1.01902,15.7712,16.0269,0.660693,14.7279,17.0253,0.887475,0.169012,0.0134199,0.177634,0.0133956,2.34546,0.371727,0.920017,0.144945
14,14.2804,18.0693,0.943959,14.3924,17.99,0.993414,14.3992,17.9984,0.993469,16.224,16.3839,0.689471,15.122,17.4276,0.875999,0.13723,0.0494551,0.13832,0.0495102,2.57257,0.254488,1.05829,0.0679596
14.5,14.6652,18.6006,0.925101,14.7855,18.5465,0.941609,14.7923,18.5546,0.941678,16.7474,16.8244,0.738906,15.589,17.9085,0.866643,0.131866,0.016508,0.135157,0.0165771,2.73688,0.186195,1.15424,0.0584583
15,15.0992,19.1766,0.955073,15.1325,19.0172,0.924853,15.139,19.0253,0.92493,17.1783,17.2233,0.754525,15.9788,18.3279,0.863292,0.162832,0.0302199,0.156468,0.0301432,2.85278,0.200548,1.22231,0.0917814
15.5,15.4976,19.7398,0.983859,15.4849,19.4783,0.914304,15.4909,19.4863,0.914384,17.6008,17.625,0.758839,16.3619,18.7471,0.86189,0.261761,0.0695559,0.253606,0.0694757,2.98251,0.225021,1.31622,0.12197
