time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.40189,5.40189,0.781161,3.42644,5.446,0.741231,3.42648,5.44605,0.741232,3.42388,5.44831,0.729687,3.42634,5.44622,0.741683,0.0504812,0.0399304,0.0505436,0.0399291,0.0513609,0.0514739,0.0506269,0.0394782
1,3.84019,5.83649,0.801128,3.90669,5.89372,0.761907,3.90672,5.89377,0.761913,3.91038,5.89206,0.753365,3.90582,5.89352,0.760437,0.087739,0.0392202,0.087793,0.0392148,0.0895309,0.0477627,0.0869548,0.0406901
1.5,4.29937,6.31035,0.816463,4.34813,6.32218,0.801734,4.34815,6.32222,0.801734,4.35759,6.3173,0.792747,4.34751,6.32193,0.801142,0.0501728,0.0147286,0.0502015,0.0147286,0.058634,0.0237164,0.049518,0.0153213
2,4.71866,6.75653,0.873155,4.7731,6.77599,0.855326,4.7731,6.776,0.855324,4.78975,6.767,0.844642,4.77225,6.77559,0.851874,0.057816,0.0178294,0.0578207,0.0178313,0.0718581,0.0285129,0.0568824,0.0212806
2.5,5.1208,7.23627,0.821834,5.16905,7.21681,0.819295,5.16909,7.21687,0.819289,5.19198,7.20486,0.791478,5.16909,7.21716,0.829618,0.0520181,0.0025386,0.0520414,0.00254507,0.0778022,0.0303564,0.0519325,0.00778435
3,5.60108,7.75288,0.832516,5.56772,7.64461,0.829503,5.56778,7.64465,0.829486,5.60465,7.62277,0.804538,5.56331,7.64962,0.839015,0.113287,0.00301372,0.113237,0.00303011,0.130159,0.0279788,0.109946,0.00649849
3.5,6.06358,8.26116,0.691031,5.98464,8.06351,0.755007,5.98474,8.06357,0.754996,6.02645,8.03954,0.727018,5.98056,8.07042,0.781949,0.212827,0.0639759,0.212734,0.0639652,0.224703,0.0359864,0.208018,0.0909172
4,6.52632,8.64388,0.732976,6.41268,8.45007,0.733342,6.4128,8.45008,0.733323,6.46378,8.41921,0.711672,6.40533,8.46178,0.751923,0.224669,0.000365796,0.224594,0.000346946,0.233204,0.021304,0.218626,0.0189472
4.5,7.00288,9.07292,0.687629,6.91573,8.8746,0.653754,6.91581,8.87459,0.653756,6.97079,8.84139,0.635351,6.91903,8.87515,0.655621,0.21662,0.0338749,0.216603,0.0338737,0.233737,0.0522779,0.214806,0.0320082
