time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.48942,5.48942,0.886164,3.45569,5.43032,0.84992,3.45564,5.43026,0.849918,3.456,5.43161,0.848139,3.45601,5.43016,0.849704,0.0680405,0.0362436,0.0681159,0.0362454,0.0667636,0.0380244,0.0680178,0.0364593
1,3.87093,5.95676,0.867095,3.8853,5.92101,0.846602,3.88526,5.92096,0.84661,3.88773,5.92184,0.831052,3.88552,5.92011,0.844918,0.0385266,0.0204931,0.0385592,0.0204845,0.0387436,0.0360433,0.0394488,0.0221773
1.5,4.24323,6.39546,0.851367,4.28294,6.36979,0.855534,4.2829,6.36974,0.855531,4.29405,6.3655,0.838883,4.2836,6.36911,0.856592,0.0472863,0.00416638,0.047282,0.00416322,0.0589919,0.0124847,0.0482062,0.00522408
2,4.64459,6.85361,0.921807,4.71433,6.89066,0.916449,4.71425,6.89058,0.916465,4.73878,6.87757,0.898093,4.71324,6.88909,0.904124,0.0789739,0.00535819,0.0788613,0.00534213,0.0971853,0.0237141,0.0772737,0.0176827
2.5,5.08892,7.43931,0.869796,5.12873,7.41291,0.887662,5.12872,7.41298,0.887702,5.1671,7.39091,0.823587,5.13172,7.40801,0.890652,0.0477714,0.0178665,0.0477193,0.0179058,0.0919535,0.046209,0.0530329,0.0208565
3,5.51368,7.94258,0.869142,5.49893,7.86613,0.890426,5.49893,7.86621,0.890423,5.5665,7.82266,0.839717,5.49904,7.86407,0.898102,0.0778601,0.0212838,0.0777877,0.0212814,0.131045,0.0294253,0.0798644,0.02896
3.5,5.98353,8.49854,0.876481,5.90236,8.34572,0.871559,5.90242,8.34587,0.871574,5.98923,8.28893,0.825075,5.89665,8.34874,0.890849,0.173039,0.00492277,0.172877,0.00490738,0.209686,0.0514062,0.173165,0.0143674
4,6.41348,9.01492,0.829115,6.32622,8.7922,0.809908,6.32638,8.79244,0.809917,6.41614,8.73445,0.768264,6.31063,8.80634,0.857985,0.239207,0.0192071,0.238928,0.0191974,0.280484,0.0608503,0.232558,0.0288701
4.5,6.86721,9.51017,0.835677,6.7325,9.23372,0.836229,6.73272,9.23397,0.836219,6.84794,9.15597,0.799047,6.69761,9.26344,0.869846,0.30752,0.000551865,0.307204,0.000541573,0.354725,0.0366299,0.299394,0.0341687
5,7.23734,9.91953,0.969421,7.13941,9.7005,0.866918,7.13966,9.70077,0.866906,7.2784,9.60496,0.830482,7.08373,9.74514,0.88914,0.239926,0.102504,0.239578,0.102515,0.31724,0.138939,0.23239,0.0802809
